wave,question_id,harmonized_name,section,stem_text,item_text,response_scale,notes
w1,,access_childcare,,,,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",Not included in this wave
w2,,access_childcare,,,,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",Not included in this wave
w3,,access_childcare,,,,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",Not included in this wave
w4,,access_childcare,,,,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",Not included in this wave
w5,,access_childcare,,,,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",Not included in this wave
w6,q45,access_childcare,E. ACCESS TO PUBLIC SERVICE,"As far as you know, how easy or difficult is it to obtain the following services? Very Not d the Can’t Decline Very Easy Easy Difficult Difficult applicable question choose to answer",Childcare,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",
w1,,access_healthcare,,,,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",Not included in this wave
w2,q46,access_healthcare,F.	ACCESS TO PUBLIC SERVICE,"Based on your experience, how easy or difficult is it to obtain the following services? Or have you never tried to get these services from government? Very Never Can’t Decline Very Easy Easy Difficult Difficult Tried choose to answer",Medical treatment at a nearby clinic,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",
w3,q40,access_healthcare,E.  ACCESS TO PUBLIC SERVICE,"Based on your experience, how easy or difficult is it to obtain the following services? Or have you never tried to get these services from government? Very Easy Easy Difficult Very",Medical treatment at a nearby clinic,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",
w4,q41,access_healthcare,E. ACCESS TO PUBLIC SERVICE,"Based on your experience, how easy or difficult is it to obtain the following services? Or have you never tried to get these services from government? Very Never Can’t Decline Very Easy Easy Difficult Difficult Tried choose to answer",Medical treatment at a nearby clinic,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",
w5,q42,access_healthcare,E. ACCESS TO PUBLIC SERVICE,"As far as you know, how easy or difficult is it to obtain the following services? Very Not d the Can’t Decline Very Easy Easy Difficult Difficult applicable question choose to answer",Healthcare,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",
w6,q42,access_healthcare,E. ACCESS TO PUBLIC SERVICE,"As far as you know, how easy or difficult is it to obtain the following services? Very Not d the Can’t Decline Very Easy Easy Difficult Difficult applicable question choose to answer",Healthcare [GBS],"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",
w1,,access_identity_document,,,,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",Not included in this wave
w2,,access_identity_document,,,,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",Not included in this wave
w3,,access_identity_document,,,,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",Not included in this wave
w4,q39,access_identity_document,E. ACCESS TO PUBLIC SERVICE,"Based on your experience, how easy or difficult is it to obtain the following services? Or have you never tried to get these services from government? Very Never Can’t Decline Very Easy Easy Difficult Difficult Tried choose to answer",An identity document (such as a birth certificate or passport【) GBS】,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",
w5,,access_identity_document,,,,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",Not included in this wave
w6,,access_identity_document,,,,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",Not included in this wave
w1,,access_internet,,,,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",Not included in this wave
w2,,access_internet,,,,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",Not included in this wave
w3,,access_internet,,,,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",Not included in this wave
w4,,access_internet,,,,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",Not included in this wave
w5,q44,access_internet,E. ACCESS TO PUBLIC SERVICE,"As far as you know, how easy or difficult is it to obtain the following services? Very Not d the Can’t Decline Very Easy Easy Difficult Difficult applicable question choose to answer",Access to the Internet,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",
w6,q44,access_internet,E. ACCESS TO PUBLIC SERVICE,"As far as you know, how easy or difficult is it to obtain the following services? Very Not d the Can’t Decline Very Easy Easy Difficult Difficult applicable question choose to answer",The Internet [GBS],"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",
w1,,access_police,,,,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",Not included in this wave
w2,q47,access_police,F.	ACCESS TO PUBLIC SERVICE,"Based on your experience, how easy or difficult is it to obtain the following services? Or have you never tried to get these services from government? Very Never Can’t Decline Very Easy Easy Difficult Difficult Tried choose to answer",Help from the police when you need it,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",
w3,q41,access_police,E.  ACCESS TO PUBLIC SERVICE,"Based on your experience, how easy or difficult is it to obtain the following services? Or have you never tried to get these services from government? Very Easy Easy Difficult Very",Help from the police when you need it,"1=Very difficult, 2=Difficult, 3=Easy, 4=Very easy",
