"wave","question_id","harmonized_name","section","stem_text","item_text","response_scale","notes"
"w1","age","age","Demographics","","How old are you?","","Verbatim from Malawi R1 codebook (no question number for age in codebook; recorded by interviewer)"
"w2","q80","age","Demographics","","How old were you at your last birthday?","999=Don't know","Verbatim from Zimbabwe R2 questionnaire Q51"
"w3","q1","age","Demographics","","How old are you?","999=Don't know","Verbatim from Botswana R3 questionnaire Q1"
"w4","Q1","age","Demographics","","How old are you?","999=Don't know","Verbatim from Zimbabwe R4 questionnaire Q1"
"w5","Q1","age","Demographics","","How old are you?","999=Don't know","Verbatim from Ethiopia R5 questionnaire Q1 (standard wording)"
"w6","Q1","age","Demographics","","How old are you?","999=Don't know","Verbatim from Mozambique R6 questionnaire Q1 (standard wording)"
"w7","Q1","age","Demographics","","How old are you?","999=Don't know","Verbatim from Tunisia R7 questionnaire Q1 (standard wording)"
"w8","Q1","age","Demographics","","How old are you?","999=Don't know","Verbatim from Zimbabwe R8 questionnaire Q1 (standard wording)"
"w9","Q1","age","Demographics","","How old are you?","999=Don't know","Verbatim from Ethiopia R9 questionnaire Q1"
"w1","age","age_cohort","Demographics (derived)","","Derived from age: respondent age grouped into cohorts","1=18-29; 2=30-39; 3=40-49; 4=50-59; 5=60+","Derived variable computed from age"
"w2","q80","age_cohort","Demographics (derived)","","Derived from age: respondent age grouped into cohorts","1=18-29; 2=30-39; 3=40-49; 4=50-59; 5=60+","Derived variable computed from age"
"w3","q1","age_cohort","Demographics (derived)","","Derived from age: respondent age grouped into cohorts","1=18-29; 2=30-39; 3=40-49; 4=50-59; 5=60+","Derived variable computed from age"
"w4","Q1","age_cohort","Demographics (derived)","","Derived from age: respondent age grouped into cohorts","1=18-29; 2=30-39; 3=40-49; 4=50-59; 5=60+","Derived variable computed from age"
"w5","Q1","age_cohort","Demographics (derived)","","Derived from age: respondent age grouped into cohorts","1=18-29; 2=30-39; 3=40-49; 4=50-59; 5=60+","Derived variable computed from age"
"w6","Q1","age_cohort","Demographics (derived)","","Derived from age: respondent age grouped into cohorts","1=18-29; 2=30-39; 3=40-49; 4=50-59; 5=60+","Derived variable computed from age"
"w7","Q1","age_cohort","Demographics (derived)","","Derived from age: respondent age grouped into cohorts","1=18-29; 2=30-39; 3=40-49; 4=50-59; 5=60+","Derived variable computed from age"
"w8","Q1","age_cohort","Demographics (derived)","","Derived from age: respondent age grouped into cohorts","1=18-29; 2=30-39; 3=40-49; 4=50-59; 5=60+","Derived variable computed from age"
"w9","Q1","age_cohort","Demographics (derived)","","Derived from age: respondent age grouped into cohorts","1=18-29; 2=30-39; 3=40-49; 4=50-59; 5=60+","Derived variable computed from age"
"w1","","bribe_document","Corruption experience","","","0=Never; 1=Once or twice; 2=A few times; 3=Often","Not included in this wave"
"w2","q59a","bribe_document","Corruption experience","In the past year, have you or anyone in your family had to pay money to government officials (besides paying rates or taxes), give them a gift, or do them a Favour, in order to get the following?","A. A job","1=No; 2=Once or twice; 3=A few times; 4=Often; 5=Don't know","Verbatim from Zimbabwe R2 questionnaire Q44A. R2 wording differs from later rounds: uses broader stem about paying government officials, not specifically about documents"
"w3","q57a","bribe_document","Corruption experience","In the past year, how often (if ever) have you had to pay a bribe, give a gift, or do a favour to government officials in order to:","A. Get a document or a permit?","0=Never; 1=Once or twice; 2=A few times; 3=Often; 9=Don't know","Verbatim from Botswana R3 questionnaire Q57A"
"w4","Q51A","bribe_document","Corruption experience","In the past year, how often (if ever) have you had to pay a bribe, give a gift, or do a favour to government officials in order to:","A. Get a document or a permit?","7=No experience with this in past year; 0=Never; 1=Once or twice; 2=A few times; 3=Often; 9=Don't know","Verbatim from Zimbabwe R4 questionnaire Q51A"
"w5","Q61A","bribe_document","Corruption experience","In the past year, how often (if ever) have you had to pay a bribe, give a gift, or do a favour to government officials in order to:","Get a document or a permit?","0=Never; 1=Once or twice; 2=A few times; 3=Often; 7=No experience; 9=Don't know","Verbatim from Ethiopia R5 questionnaire (standard wording)"
"w6","Q55F","bribe_document","Corruption experience","How often, if ever, did you have to pay a bribe, give a gift, or do a favour for a government official in order to get the document you needed?","","0=Never; 1=Once or twice; 2=A few times; 3=Often; 7=No contact; 9=Don't know","Verbatim from Mozambique R6 questionnaire. R6+ restructured bribery into service-encounter modules; wording changed from R3-R5 format"
"w7","Q49K","bribe_document","Corruption experience","How often, if ever, did you have to pay a bribe, give a gift, or do a favour for a government official in order to get the document you needed?","","0=Never; 1=Once or twice; 2=A few times; 3=Often; 7=No contact; 9=Don't know","Verbatim from Tunisia R7 questionnaire (standard R6+ wording)"
"w8","Q44I","bribe_document","Corruption experience","How often, if ever, did you have to pay a bribe, give a gift, or do a favour for a government official in order to get the document you needed?","","0=Never; 1=Once or twice; 2=A few times; 3=Often; 7=No contact; 9=Don't know","Verbatim from Zimbabwe R8 questionnaire (standard R6+ wording)"
"w9","Q42C","bribe_document","Corruption experience","How often, if ever, did you have to pay a bribe, give a gift, or do a favour for a government official in order to get the document you needed?","","0=Never; 1=Once or twice; 2=A few times; 3=Often; 7=No contact; 8=Refused; 9=Don't know; -1=Missing","Verbatim from Ethiopia R9 questionnaire Q42C"
"w1","","bribe_medical","Corruption experience","","","0=Never; 1=Once or twice; 2=A few times; 3=Often","Not included in this wave"
"w2","","bribe_medical","Corruption experience","","","0=Never; 1=Once or twice; 2=A few times; 3=Often","Not included in this wave"
"w3","q57d","bribe_medical","Corruption experience","In the past year, how often (if ever) have you had to pay a bribe, give a gift, or do a favour to government officials in order to:","D. Get medicine or medical attention from a health worker","0=Never; 1=Once or twice; 2=A few times; 3=Often; 9=Don't know","Verbatim from Botswana R3 questionnaire Q57D"
"w4","","bribe_medical","Corruption experience","","","0=Never; 1=Once or twice; 2=A few times; 3=Often","Not included in this wave"
"w5","Q61C","bribe_medical","Corruption experience","In the past year, how often (if ever) have you had to pay a bribe, give a gift, or do a favour to government officials in order to:","Get medicine or medical attention from a health worker?","0=Never; 1=Once or twice; 2=A few times; 3=Often; 7=No experience; 9=Don't know","Verbatim from Ethiopia R5 questionnaire (standard wording)"
"w6","Q55D","bribe_medical","Corruption experience","How often, if ever, did you have to pay a bribe, give a gift, or do a favour for a health worker or clinic or hospital staff in order to get the medical care or services you needed?","","0=Never; 1=Once or twice; 2=A few times; 3=Often; 7=No contact; 9=Don't know","Verbatim from Mozambique R6 questionnaire (standard R6+ wording)"
"w7","Q49G","bribe_medical","Corruption experience","How often, if ever, did you have to pay a bribe, give a gift, or do a favour for a health worker or clinic or hospital staff in order to get the medical care or services you needed?","","0=Never; 1=Once or twice; 2=A few times; 3=Often; 7=No contact; 9=Don't know","Verbatim from Tunisia R7 questionnaire (standard R6+ wording)"
"w8","Q44F","bribe_medical","Corruption experience","How often, if ever, did you have to pay a bribe, give a gift, or do a favour for a health worker or clinic or hospital staff in order to get the medical care or services you needed?","","0=Never; 1=Once or twice; 2=A few times; 3=Often; 7=No contact; 9=Don't know","Verbatim from Zimbabwe R8 questionnaire (standard R6+ wording)"
"w9","Q41C","bribe_medical","Corruption experience","How often, if ever, did you have to pay a bribe, give a gift, or do a favour for a health worker or clinic or hospital staff in order to get the medical care or services you needed?","","0=Never; 1=Once or twice; 2=A few times; 3=Often; 7=No contact; 8=Refused; 9=Don't know; -1=Missing","Verbatim from Ethiopia R9 questionnaire Q41C"
"w1","","bribe_police","Corruption experience","","","0=Never; 1=Once or twice; 2=A few times; 3=Often","Not included in this wave"
"w2","q59e","bribe_police","Corruption experience","In the past year, have you or anyone in your family had to pay money to government officials (besides paying rates or taxes), give them a gift, or do them a Favour, in order to get the following?","E. Avoid a problem with the police (like passing a checkpoint or avoiding a fine or arrest)?","1=No; 2=Once or twice; 3=A few times; 4=Often; 5=Don't know","Verbatim from Zimbabwe R2 questionnaire Q44. R2 bribery items use different stem and scale from later rounds"
"w3","q57e","bribe_police","Corruption experience","In the past year, how often (if ever) have you had to pay a bribe, give a gift, or do a favour to government officials in order to:","E. Avoid a problem with the police (like passing a checkpoint or avoiding a fine or arrest)?","0=Never; 1=Once or twice; 2=A few times; 3=Often; 9=Don't know","Verbatim from Botswana R3 questionnaire Q57E"
"w4","Q51C","bribe_police","Corruption experience","In the past year, how often (if ever) have you had to pay a bribe, give a gift, or do a favour to government officials in order to:","C. Avoid a problem with the police (like passing a checkpoint or avoiding a fine or arrest)?","7=No experience; 0=Never; 1=Once or twice; 2=A few times; 3=Often; 9=Don't know","Verbatim from Zimbabwe R4 questionnaire Q51C"
