"wave","question_id","harmonized_name","section","stem_text","item_text","response_scale","notes"
"w2","q1001","age","Demographics","","How old are you?","Age in years","Text sourced from W1 questionnaire PDF (ABI_Questionnaire_ENG.pdf) and W2 SPSS variable labels"
"w3","q1001","age","Demographics","","How old are you?","Age in years","Text sourced from W1 questionnaire PDF (ABI_Questionnaire_ENG.pdf) and W2 SPSS variable labels"
"w4","q1001","age","Demographics","","How old are you?","Age in years","Text sourced from W1 questionnaire PDF (ABI_Questionnaire_ENG.pdf) and W2 SPSS variable labels"
"w5","Q1001","age","Demographics","","How old are you?","Age in years","Text sourced from W1 questionnaire PDF and W5 SPSS variable labels (ArabBarometer_WaveV_English_v2.sav)"
"w7","Q1001","age","Demographics","","How old are you?","Age in years","Text sourced from W1 questionnaire PDF and W7 SPSS variable labels (AB7_ENG_Release_Version6.sav)"
"w8","Q1001","age","Demographics","","How old are you?","Age in years","Text sourced from W1 questionnaire PDF and W8 SPSS variable labels (ArabBarometer_WaveVIII_English_v3.sav)"
"w2","q1001","age_cohort","Demographics","","How old are you? (recoded to cohorts)","1=18-29; 2=30-39; 3=40-49; 4=50-59; 5=60+","Text sourced from W1 questionnaire PDF (ABI_Questionnaire_ENG.pdf) and W2 SPSS variable labels"
"w3","q1001","age_cohort","Demographics","","How old are you? (recoded to cohorts)","1=18-29; 2=30-39; 3=40-49; 4=50-59; 5=60+","Text sourced from W1 questionnaire PDF (ABI_Questionnaire_ENG.pdf) and W2 SPSS variable labels"
"w4","q1001","age_cohort","Demographics","","How old are you? (recoded to cohorts)","1=18-29; 2=30-39; 3=40-49; 4=50-59; 5=60+","Text sourced from W1 questionnaire PDF (ABI_Questionnaire_ENG.pdf) and W2 SPSS variable labels"
"w5","Q1001","age_cohort","Demographics","","How old are you? (recoded to cohorts)","1=18-29; 2=30-39; 3=40-49; 4=50-59; 5=60+","Text sourced from W1 questionnaire PDF and W5 SPSS variable labels (ArabBarometer_WaveV_English_v2.sav)"
"w7","Q1001","age_cohort","Demographics","","How old are you? (recoded to cohorts)","1=18-29; 2=30-39; 3=40-49; 4=50-59; 5=60+","Text sourced from W1 questionnaire PDF and W7 SPSS variable labels (AB7_ENG_Release_Version6.sav)"
"w8","Q1001","age_cohort","Demographics","","How old are you? (recoded to cohorts)","1=18-29; 2=30-39; 3=40-49; 4=50-59; 5=60+","Text sourced from W1 questionnaire PDF and W8 SPSS variable labels (ArabBarometer_WaveVIII_English_v3.sav)"
"w2","q210","corruption_extent","Corruption","","To what extent do you think that there is corruption within the national state agencies and institutions in your country?","1=To a large extent; 2=To a medium extent; 3=To a small extent; 4=Not at all; 98=Don't know; 99=Refused","Text sourced from W1 questionnaire PDF (ABI_Questionnaire_ENG.pdf) and W2 SPSS variable labels"
"w3","q210","corruption_extent","Corruption","","To what extent do you think that there is corruption within the national state agencies and institutions in your country?","1=To a large extent; 2=To a medium extent; 3=To a small extent; 4=Not at all; 98=Don't know; 99=Refused","Text sourced from W1 questionnaire PDF (ABI_Questionnaire_ENG.pdf) and W2 SPSS variable labels"
"w4","q210","corruption_extent","Corruption","","To what extent do you think that there is corruption within the national state agencies and institutions in your country?","1=To a large extent; 2=To a medium extent; 3=To a small extent; 4=Not at all; 98=Don't know; 99=Refused","Text sourced from W1 questionnaire PDF (ABI_Questionnaire_ENG.pdf) and W2 SPSS variable labels"
"w5","Q210","corruption_extent","Corruption","","To what extent do you think that there is corruption within the national state agencies and institutions in your country?","1=To a large extent; 2=To a medium extent; 3=To a small extent; 4=Not at all; 98=Don't know; 99=Refused","Text sourced from W1 questionnaire PDF and W5 SPSS variable labels (ArabBarometer_WaveV_English_v2.sav)"
"w7","Q210","corruption_extent","Corruption","","To what extent do you think that there is corruption within the national state agencies and institutions in your country?","1=To a large extent; 2=To a medium extent; 3=To a small extent; 4=Not at all; 98=Don't know; 99=Refused","Text sourced from W1 questionnaire PDF and W7 SPSS variable labels (AB7_ENG_Release_Version6.sav)"
"w8","Q210","corruption_extent","Corruption","","To what extent do you think that there is corruption within the national state agencies and institutions in your country?","1=To a large extent; 2=To a medium extent; 3=To a small extent; 4=Not at all; 98=Don't know; 99=Refused","Text sourced from W1 questionnaire PDF and W8 SPSS variable labels (ArabBarometer_WaveVIII_English_v3.sav)"
"w2","q211","corruption_govt_action","Corruption","","In your opinion, to what extent is the government working to crackdown on / eliminate corruption in your country?","1=To a great extent; 2=To a medium extent; 3=To a limited extent; 4=Not at all; 98=Don't know; 99=Refused","Text sourced from W1 questionnaire PDF (ABI_Questionnaire_ENG.pdf) and W2 SPSS variable labels"
"w3","q211","corruption_govt_action","Corruption","","In your opinion, to what extent is the government working to crackdown on / eliminate corruption in your country?","1=To a great extent; 2=To a medium extent; 3=To a limited extent; 4=Not at all; 98=Don't know; 99=Refused","Text sourced from W1 questionnaire PDF (ABI_Questionnaire_ENG.pdf) and W2 SPSS variable labels"
"w4","","corruption_govt_action","Corruption","","In your opinion, to what extent is the government working to crackdown on / eliminate corruption in your country?","1=To a great extent; 2=To a medium extent; 3=To a limited extent; 4=Not at all; 98=Don't know; 99=Refused","Not included in this wave"
"w5","Q211","corruption_govt_action","Corruption","","In your opinion, to what extent is the government working to crackdown on / eliminate corruption in your country?","1=To a great extent; 2=To a medium extent; 3=To a limited extent; 4=Not at all; 98=Don't know; 99=Refused","Text sourced from W1 questionnaire PDF and W5 SPSS variable labels (ArabBarometer_WaveV_English_v2.sav)"
"w7","Q211_1","corruption_govt_action","Corruption","","In your opinion, to what extent is the government working to crackdown on / eliminate corruption in your country?","1=To a great extent; 2=To a medium extent; 3=To a limited extent; 4=Not at all; 98=Don't know; 99=Refused","Text sourced from W1 questionnaire PDF and W7 SPSS variable labels (AB7_ENG_Release_Version6.sav)"
"w8","Q211_2","corruption_govt_action","Corruption","","In your opinion, to what extent is the government working to crackdown on / eliminate corruption in your country?","1=To a great extent; 2=To a medium extent; 3=To a limited extent; 4=Not at all; 98=Don't know; 99=Refused","Text sourced from W1 questionnaire PDF and W8 SPSS variable labels (ArabBarometer_WaveVIII_English_v3.sav)"
"w2","","corruption_local","Corruption","","How widespread do you think corruption is in your governorate / local government / municipality?","1=Hardly anyone; 2=Not a lot; 3=Most; 4=Almost everyone; 98=Don't know; 99=Refused","Not included in this wave"
"w3","","corruption_local","Corruption","","How widespread do you think corruption is in your governorate / local government / municipality?","1=Hardly anyone; 2=Not a lot; 3=Most; 4=Almost everyone; 98=Don't know; 99=Refused","Not included in this wave"
