"wave","question_id","harmonized_name","section","stem_text","item_text","response_scale","notes"
"asia2020","TCOUNTRY","country","Identifiers","","Country in which the respondent was interviewed (sample-frame identifier).","1=Japan; 2=South Korea; 3=Taiwan; 4=India; 5=China; 6=Malaysia; 7=Indonesia; 8=Thailand; 9=Philippines; 10=Myanmar; 11=Nepal; 12=Bangladesh; 13=Cambodia; 14=Mongolia; 15=Sri Lanka; 16=Vietnam; 17=Maldives","Administrative/sample variable, not a survey question."
"asia2020","RespondentID","respondent_id","Identifiers","","Respondent serial identifier.","numeric ID","Administrative. NOT unique across countries (IDs restart per country); use (wave,row_id,country) as key."
"asia2020","WITHINWT","weight_within","Identifiers","","Within-country post-stratification weighting factor.","numeric weight","Administrative weight variable, not a survey question."
"asia2020","COMBINWT","weight_cross","Identifiers","","Multi-country weighting factor scaling each country to 1000 completed interviews.","numeric weight","Administrative weight variable, not a survey question."
"asia2020","YEAR","fieldwork_year","Identifiers","","Calendar year of fieldwork.","2019; 2020","Sparse (~84% missing); Asia 2020 fieldwork straddled 2019-2020."
"asia2020","CORRCHANGEFIN","corr_change_perceived","Corruption perceptions","","Over the past year, in your opinion, has the level of corruption in [COUNTRY] decreased a lot, somewhat decreased, stayed the same, somewhat increased, or increased a lot?","0=Decreased a lot; 1=Somewhat decreased; 2=Stayed the same; 3=Somewhat increased; 4=Increased a lot; 99=Don't know","Higher = more corruption. Missing: 99 only."
"asia2020","CORRGOVRESFIN","corr_govt_performance","Corruption perceptions","","How well or badly would you say the current government is handling the task of fighting corruption in government - would you say it's handling it very badly, fairly badly, fairly well, or very well?","1=Very badly; 2=Fairly badly; 3=Fairly well; 4=Very well; 99=Don't know","Higher = better government response. Missing: 99 only."
"asia2020","TQ2","corr_institutional_problem","Corruption perceptions","","Now a question about corruption in government - by that I mean corruption involving politicians, public servants or any kind of government agency in [COUNTRY]. How much of a problem, if at all, is corruption in the government in this country? Is it...?","0=No problem at all; 1=Fairly small; 2=Quite big; 3=A very big problem; 4=Don't know; 99=Don't answer","Higher = bigger problem. NOTE: 'Don't know' is coded 4 (plus 99=Don't answer); both treated as missing."
"asia2020","Q31A","acc_awareness","Anti-corruption institutions","","I now want to ask you about the [Anti-Corruption Commission] in this country. How much, if anything, do you know about the [Anti-Corruption Commission]?","1=Never heard of them; 2=Heard the name, but don't know what they do; 3=A fair amount; 4=A great deal; 98=Refused; 99=Don't know","[Anti-Corruption Commission] is replaced with the country-specific body (e.g. South Korea = ACRC, Japan = ABCJ, India = Central Vigilance Commission); full per-country list in codebook."
"asia2020","Q31B","acc_performance","Anti-corruption institutions","","How well or badly would you say the [Anti-Corruption Commission] is doing at fighting corruption in this country?","1=Very badly; 2=Fairly badly; 3=Fairly well; 4=Very well; 5=Neither bad nor well; 98=Refused; 99=Don't know","Harmonized value remaps the neutral midpoint to centre (raw 1,2,5,3,4 -> 1,2,3,4,5; higher=better). [Anti-Corruption Commission] is replaced with the country-specific body (e.g. South Korea = ACRC, Japan = ABCJ, India = Central Vigilance Commission); full per-country list in codebook."
"asia2020","Q47","report_without_fear","Reporting","","In this country, can ordinary people report incidents of corruption without fear, or do they risk retaliation or other negative consequences if they speak out?","0=Can report without fear; 2=Fear reprisals; 98=Refused; 99=Don't know","Harmonized recoded to a binary: 0->1 (can report without fear), 2->0 (fears reprisal)."
"asia2020","BRIBE1FIN","bribe_school","Bribery experience","In the past 12 months have you had contact with [public service]? And how often, if ever, did you have to pay a bribe, give a gift, or do a favour for an official in order to get the services you needed?","In the past 12 months have you had contact with a public school? And how often, if ever, did you have to pay a bribe, give a gift, or do a favour for a teacher or school official in order to get the services you needed from the schools?","0=Never; 1=Once or twice; 2=A few times; 3=Often; 5=No contact; 98=Refused; 99=Don't know","Harmonization sets 5='No contact' to NA (frequency among service users)."
"asia2020","BRIBE2FIN","bribe_clinic","Bribery experience","In the past 12 months have you had contact with [public service]? And how often, if ever, did you have to pay a bribe, give a gift, or do a favour for an official in order to get the services you needed?","In the past 12 months have you had contact with a public clinic or hospital? How often did you have to pay a bribe, give a gift, or do a favour for a health worker or clinic or hospital staff in order to get the medical care you needed?","0=Never; 1=Once or twice; 2=A few times; 3=Often; 5=No contact; 98=Refused; 99=Don't know","Harmonization sets 5='No contact' to NA."
"asia2020","BRIBE3FIN","bribe_id_docs","Bribery experience","In the past 12 months have you had contact with [public service]? And how often, if ever, did you have to pay a bribe, give a gift, or do a favour for an official in order to get the services you needed?","In the past 12 months have you tried to get an identity document like a birth certificate, driver's license, passport or voter's card, or a permit, from government? And how often did you have to pay a bribe, give a gift, or do a favour for a government official in order to get the document you needed?","0=Never; 1=Once or twice; 2=A few times; 3=Often; 5=No contact; 98=Refused; 99=Don't know","Harmonization sets 5='No contact' to NA."
"asia2020","BRIBE4FIN","bribe_utilities","Bribery experience","In the past 12 months have you had contact with [public service]? And how often, if ever, did you have to pay a bribe, give a gift, or do a favour for an official in order to get the services you needed?","In the past 12 months have you tried to get water, sanitation or electric services from government? How often did you have to pay a bribe, give a gift, or do a favour for a government official in order to get the services you needed?","0=Never; 1=Once or twice; 2=A few times; 3=Often; 5=No contact; 98=Refused; 99=Don't know","Harmonization sets 5='No contact' to NA."
"asia2020","BRIBE5FIN","bribe_police","Bribery experience","In the past 12 months have you had contact with [public service]? And how often, if ever, did you have to pay a bribe, give a gift, or do a favour for an official in order to get the services you needed?","In the past 12 months have you had contact with the police? And how often, if ever, did you have to pay a bribe, give a gift, or do a favour for a police officer in order to get the assistance you needed, or to avoid a problem like passing a checkpoint or avoiding a fine or arrest?","0=Never; 1=Once or twice; 2=A few times; 3=Often; 5=No contact; 98=Refused; 99=Don't know","Harmonization sets 5='No contact' to NA."
"asia2020","BRIBE6FIN","bribe_courts","Bribery experience","In the past 12 months have you had contact with [public service]? And how often, if ever, did you have to pay a bribe, give a gift, or do a favour for an official in order to get the services you needed?","In the past 12 months have you had contact with the courts? And how often, if ever, did you have to pay a bribe, give a gift, or do a favour for a judge or court official in order to get the assistance you needed from the courts or to avoid a problem?","0=Never; 1=Once or twice; 2=A few times; 3=Often; 5=No contact; 98=Refused; 99=Don't know","Harmonization sets 5='No contact' to NA."
