survey,wave_key,raw_var,harmonized_name,a_end,b_end,c_end,a_n,b_n,c_n,b_convention,verdict,detail
ipus,2007,A12,uni_necessity,low,low,,5,6,,unknown,cardinality_mismatch,"A=5,B=6"
ipus,2007,A43,nk_recent_change,low,low,,4,5,,unknown,cardinality_mismatch,"A=4,B=5"
ipus,2007,A60,nk_nuke_threat,low,low,,4,5,,unknown,cardinality_mismatch,"A=4,B=5"
ipus,2008,B06,uni_necessity,low,low,,7,8,,unknown,cardinality_mismatch,"A=7,B=8"
ipus,2008,B38,nk_recent_change,low,low,,6,7,,unknown,cardinality_mismatch,"A=6,B=7"
ipus,2008,B55,nk_nuke_threat,low,low,,6,7,,unknown,cardinality_mismatch,"A=6,B=7"
ipus,2009,A12,uni_necessity,low,low,,7,7,,unknown,concordant,"A=low,B=low"
ipus,2009,A40,nk_regime_wants_unif,low,low,,6,6,,unknown,concordant,"A=low,B=low"
ipus,2009,A41,nk_recent_change,low,low,,6,6,,unknown,concordant,"A=low,B=low"
ipus,2009,A59,nk_nuke_threat,low,low,,6,6,,unknown,concordant,"A=low,B=low"
ipus,2010,A12,uni_necessity,low,low,,7,7,,unknown,concordant,"A=low,B=low"
ipus,2010,A41,nk_recent_change,low,low,,6,6,,unknown,concordant,"A=low,B=low"
ipus,2010,A59,nk_nuke_threat,low,low,,6,6,,unknown,concordant,"A=low,B=low"
ipus,2011,NK04,nk_regime_wants_unif,low,low,,4,4,,unknown,concordant,"A=low,B=low"
ipus,2011,NK05,nk_recent_change,low,low,,4,4,,unknown,concordant,"A=low,B=low"
ipus,2011,NK10,nk_nuke_threat,low,low,,4,4,,unknown,concordant,"A=low,B=low"
ipus,2011,UNI01,uni_necessity,low,low,,5,5,,unknown,concordant,"A=low,B=low"
ipus,2013,NK04,nk_regime_wants_unif,low,low,,4,6,,unknown,cardinality_mismatch,"A=4,B=6"
ipus,2013,NK05,nk_recent_change,low,low,,4,6,,unknown,cardinality_mismatch,"A=4,B=6"
ipus,2013,NK10,nk_nuke_threat,low,low,,4,6,,unknown,cardinality_mismatch,"A=4,B=6"
ipus,2013,UNI01,uni_necessity,low,low,,5,7,,unknown,cardinality_mismatch,"A=5,B=7"
ipus,2014,NK04,nk_regime_wants_unif,low,low,,4,6,,unknown,cardinality_mismatch,"A=4,B=6"
ipus,2014,NK05,nk_recent_change,low,low,,4,6,,unknown,cardinality_mismatch,"A=4,B=6"
ipus,2014,NK10,nk_nuke_threat,low,low,,4,6,,unknown,cardinality_mismatch,"A=4,B=6"
ipus,2014,UNI01,uni_necessity,low,low,,5,7,,unknown,cardinality_mismatch,"A=5,B=7"
ipus,2015,NK04,nk_regime_wants_unif,low,low,,4,6,,unknown,cardinality_mismatch,"A=4,B=6"
ipus,2015,NK05,nk_recent_change,low,low,,4,6,,unknown,cardinality_mismatch,"A=4,B=6"
ipus,2015,NK10,nk_nuke_threat,low,low,,4,6,,unknown,cardinality_mismatch,"A=4,B=6"
ipus,2015,UNI01,uni_necessity,low,low,,5,7,,unknown,cardinality_mismatch,"A=5,B=7"
ipus,2016,NK04,nk_regime_wants_unif,low,low,,4,6,,unknown,cardinality_mismatch,"A=4,B=6"
ipus,2016,NK05,nk_recent_change,low,low,,4,6,,unknown,cardinality_mismatch,"A=4,B=6"
ipus,2016,NK10,nk_nuke_threat,low,low,,4,6,,unknown,cardinality_mismatch,"A=4,B=6"
ipus,2016,UNI01,uni_necessity,low,low,,5,7,,unknown,cardinality_mismatch,"A=5,B=7"
ipus,2017,NK04,nk_regime_wants_unif,low,low,,4,6,,unknown,cardinality_mismatch,"A=4,B=6"
ipus,2017,NK05,nk_recent_change,low,low,,4,6,,unknown,cardinality_mismatch,"A=4,B=6"
ipus,2017,NK10,nk_nuke_threat,low,low,,4,6,,unknown,cardinality_mismatch,"A=4,B=6"
