wave,question_id,harmonized_name,section,stem_text,item_text,response_scale,notes
w2007,age,age,demographics,,연령,,
w2010,wage,age,demographics,,응답자 연령,,
w2011,dem14_02,age,demographics,,연령 (각세별),,
w2012,d02,age,demographics,,,,SAV has NULL variable label (likely 2012 stripped labels)
w2013,dem14_01_raw,age,demographics,,연령(raw),,
w2014,dem14_01_raw,age,demographics,,연령(raw),,
w2015,dem14_01_raw,age,demographics,,연령(raw),,
w2016,dem14_01_raw,age,demographics,,연령(raw),,
w2017,dem02_01_raw,age,demographics,,연령,,
w2018,d02,age,demographics,,만 나이(raw),,
w2019,d02,age,demographics,,만 나이(raw),,
w2020,d02,age,demographics,,만 나이(raw),,
w2021,d02,age,demographics,,만 나이(raw),,
w2022,d02,age,demographics,,만 나이(raw),,
w2023,d02,age,demographics,,만 나이(raw),,
w2024,d02,age,demographics,,만 나이(raw),,
w2007,rel,religion,demographics,,종교유무,1=불교; 2=개신교 (교회); 3=가톨릭 (성당); 4=원불교; 5=통일교; 6=힌두교; 7=유교; 97=기타; 98=종교 없음; 99=모름/ 무응답,
w2008,rel,religion,demographics,,▣ 종교 ▣,1=불교; 2=기독교; 3=천주교; 4=기타; 98=종교없음; 99=모름/무응답,
w2009,rel,religion,demographics,,▣ 종교 ▣,1=불교; 2=기독교; 3=천주교; 4=기타; 98=없음; 99=모름/무응답,
w2010,rel,religion,demographics,,응답자 종교,1=   불      교; 2=   기  독  교; 3=   천  주  교; 4=   기      타; 98=   종교  없음; 99=  모름／무응답,
w2011,dem06,religion,demographics,,종교,1=불교; 2=기독교; 3=천주교; 4=기타; 98=종교없음; 99=무름／무응답,
w2012,d08,religion,demographics,,,,SAV has NULL variable label (likely 2012 stripped labels)
w2013,dem06,religion,demographics,,종교,1=   불      교; 2=   기  독  교; 3=   천  주  교; 4=   기      타; 5=   원  불  교; 6=   여호와의  증인; 7=   한국  SGI; 8=   유     교; 9=   힌  두  교; 98=   종교  없음; 99=  무름／무응답,
w2014,dem06,religion,demographics,,종교,1=   불      교; 2=   기  독  교; 3=   천  주  교; 4=   기      타; 98=   종교  없음; 99=  모름／무응답,
w2015,dem06,religion,demographics,,종교,1=   불      교; 2=   기  독  교; 3=   천  주  교; 4=   기      타; 98=   종교  없음; 99=  모름／무응답,
w2016,dem06,religion,demographics,,종교,1=   불      교; 2=   기  독  교; 3=   천  주  교; 4=   기      타; 98=   종교  없음; 99=  모름／무응답,
w2017,dem06,religion,demographics,,종교,1=불      교; 2=기  독  교; 3=천  주  교; 4=기      타; 98=종교  없음; 99=모름／무응답,
w2018,d08,religion,demographics,,종교,1=불      교; 2=기  독  교; 3=천  주  교; 4=기      타; 98=종교  없음; 99=모름／무응답,
w2019,d08,religion,demographics,,종교,1=불      교; 2=기  독  교; 3=천  주  교; 4=기      타; 98=종교  없음; 99=무응답,
w2020,d08,religion,demographics,,종교,1=불      교; 2=기  독  교; 3=천  주  교; 4=기      타; 98=종교  없음; 99=무응답,
w2021,d08,religion,demographics,,종교,1=불      교; 2=기  독  교; 3=천  주  교; 4=기      타; 98=종교  없음; 99=무응답,
w2022,d08,religion,demographics,,종교,1=불교; 2=기독교 (개신교); 3=천주교 (가톨릭); 4=기타; 98=종교 없음; 99=무응답,
w2023,d08,religion,demographics,,종교,1=불교; 2=기독교 (개신교); 3=천주교 (가톨릭); 4=기타; 98=종교 없음; 99=모름/무응답,
w2024,d08,religion,demographics,,종교,1=불교; 2=기독교 (개신교); 3=천주교 (가톨릭); 4=기타; 98=종교 없음; 99=모름/무응답,
w2007,sex,sex,demographics,,성별,1=남자; 2=여자,
w2008,sex,sex,demographics,,▣ 성      별 ▣,1=   남      자; 2=   여      자,
w2009,sex,sex,demographics,,▣ 성      별 ▣,1=   남      자; 2=   여      자,
w2010,sex,sex,demographics,,응답자 성별,1=   남      자; 2=   여      자,
w2011,dem01,sex,demographics,,성별,1=남자; 2=여자,
w2013,dem01,sex,demographics,,성별,1=   남      자; 2=   여      자,
w2014,dem01,sex,demographics,,성별,1=   남      자; 2=   여      자,
w2015,dem01,sex,demographics,,성별,1=   남      자; 2=   여      자,
w2016,dem01,sex,demographics,,성별,1=   남      자; 2=   여      자,
w2017,dem01,sex,demographics,,성별,1=   남      자; 2=   여      자,
w2018,d01,sex,demographics,,성별,1=남자; 2=여자,
w2019,d01,sex,demographics,,성별,1=남자; 2=여자,
w2020,d01,sex,demographics,,성별,1=남자; 2=여자,
w2021,d01,sex,demographics,,성별,1=남자; 2=여자,
w2022,d01,sex,demographics,,성별,1=남자; 2=여자,
w2023,d01,sex,demographics,,성별,1=남자; 2=여자,
w2024,d01,sex,demographics,,성별,1=남자; 2=여자,
w2007,siz,urban_rural,demographics,,지역크기,1=대도시; 2=중소도시; 3=읍／면,
w2008,siz,urban_rural,demographics,,▣ 지역크기 ▣,1=대도시; 2=중소도시; 3=읍; 4=면,
w2009,siz,urban_rural,demographics,,▣ 지역크기 ▣,1=대도시; 2=중소도시; 3=읍; 4=면,
w2010,siz,urban_rural,demographics,,조사지역 규모,1=대도시; 2=중소도시; 3=읍; 4=면,
w2011,dem04,urban_rural,demographics,,지역크기,1=대도시; 2=중·소도시; 3=읍／면,
w2012,d06,urban_rural,demographics,,,,SAV has NULL variable label (likely 2012 stripped labels)
w2013,dem04,urban_rural,demographics,,지역크기,1=   대  도  시; 2=   중／소도시; 3=   읍  ／  면,
w2014,dem04,urban_rural,demographics,,지역크기,1=   대  도  시; 2=   중·소도시; 3=   읍  ／  면,
w2015,dem04,urban_rural,demographics,,지역크기,1=   대  도  시; 2=   중·소도시; 3=   읍  ／  면,
w2016,dem04,urban_rural,demographics,,지역크기,1=   대  도  시; 2=   중／소도시; 3=   읍  ／  면,
w2017,dem04,urban_rural,demographics,,지역크기,1=   대  도  시; 2=   중／소  시; 3=   읍      면,
w2018,d06,urban_rural,demographics,,도시구분,1=대  도  시; 2=중/소도시; 3=읍／면,
w2019,d06,urban_rural,demographics,,도시구분,1=대도시; 2=중/소도시; 3=읍／면,
w2020,d06,urban_rural,demographics,,도시구분,1=대도시; 2=중/소도시; 3=읍／면,
w2021,d06,urban_rural,demographics,,도시구분,1=대도시; 2=중/소도시; 3=읍／면,
w2022,d06,urban_rural,demographics,,도시구분,1=대도시; 2=중/소도시; 3=읍/면,
w2023,d06,urban_rural,demographics,,도시구분,1=대도시; 2=중소도시; 3=읍/면,
w2024,d06,urban_rural,demographics,,도시구분,1=대도시; 2=중소도시; 3=읍/면,
w2007,a60,nk_nuke_threat,north_korea,,북한 핵무기에 위협을 느끼는 정도,1=매우 위협을 느낀다; 2=다소 위협을 느낀다; 3=별로 위협을 느끼지 않는다; 4=전혀 위협을 느끼지 않는다; 8=없다; 9=모름/ 무응답,
w2008,b55,nk_nuke_threat,north_korea,,북한의 핵무기 보유에 위협을 느끼는 정도,1=   ①   매우 위협을 느낀다; 2=   ②   다소 위협을 느낀다; 2.5=①+②; 3=   ③   별로 위협을 느끼지 않는다; 4=   ④   전혀 위협을 느끼지 않는다; 4.5=③+④; 8=없다; 9=모름/ 무응답,
w2009,a59,nk_nuke_threat,north_korea,,북한의 핵무기 보유에 위협을 느끼는 정도,1=   ①   매우 위협을 느낀다; 2=   ②   다소 위협을 느낀다; 2.5=①+②; 3=   ③   별로 위협을 느끼지 않는다; 4=   ④   전혀 위협을 느끼지 않는다; 4.5=③+④; 9=모름/ 무응답,
w2010,a59,nk_nuke_threat,north_korea,,북한의 핵무기 보유에 위협을 느끼는 정도,1=매우 위협을 느낀다; 2=다소 위협을 느낀다; 2.5=①+②; 3=별로 위협을 느끼지 않는다; 4=전혀 위협을 느끼지 않는다; 4.5=③+④; 9=모름/ 무응답,
