wave,raw_variable,harmonized_name,yaml_file
w2007,age,age,demographics.yml
w2010,wage,age,demographics.yml
w2011,dem14_02,age,demographics.yml
w2012,d02,age,demographics.yml
w2013,dem14_01_raw,age,demographics.yml
w2014,dem14_01_raw,age,demographics.yml
w2015,dem14_01_raw,age,demographics.yml
w2016,dem14_01_raw,age,demographics.yml
w2017,dem02_01_raw,age,demographics.yml
w2018,d02,age,demographics.yml
w2019,d02,age,demographics.yml
w2020,d02,age,demographics.yml
w2021,d02,age,demographics.yml
w2022,d02,age,demographics.yml
w2023,d02,age,demographics.yml
w2024,d02,age,demographics.yml
w2007,rel,religion,demographics.yml
w2008,rel,religion,demographics.yml
w2009,rel,religion,demographics.yml
w2010,rel,religion,demographics.yml
w2011,dem06,religion,demographics.yml
w2012,d08,religion,demographics.yml
w2013,dem06,religion,demographics.yml
w2014,dem06,religion,demographics.yml
w2015,dem06,religion,demographics.yml
w2016,dem06,religion,demographics.yml
w2017,dem06,religion,demographics.yml
w2018,d08,religion,demographics.yml
w2019,d08,religion,demographics.yml
w2020,d08,religion,demographics.yml
w2021,d08,religion,demographics.yml
w2022,d08,religion,demographics.yml
w2023,d08,religion,demographics.yml
w2024,d08,religion,demographics.yml
w2007,sex,sex,demographics.yml
w2008,sex,sex,demographics.yml
w2009,sex,sex,demographics.yml
w2010,sex,sex,demographics.yml
w2011,dem01,sex,demographics.yml
w2013,dem01,sex,demographics.yml
w2014,dem01,sex,demographics.yml
w2015,dem01,sex,demographics.yml
w2016,dem01,sex,demographics.yml
w2017,dem01,sex,demographics.yml
w2018,d01,sex,demographics.yml
w2019,d01,sex,demographics.yml
w2020,d01,sex,demographics.yml
w2021,d01,sex,demographics.yml
w2022,d01,sex,demographics.yml
w2023,d01,sex,demographics.yml
w2024,d01,sex,demographics.yml
w2007,siz,urban_rural,demographics.yml
w2008,siz,urban_rural,demographics.yml
w2009,siz,urban_rural,demographics.yml
w2010,siz,urban_rural,demographics.yml
w2011,dem04,urban_rural,demographics.yml
w2012,d06,urban_rural,demographics.yml
w2013,dem04,urban_rural,demographics.yml
w2014,dem04,urban_rural,demographics.yml
w2015,dem04,urban_rural,demographics.yml
w2016,dem04,urban_rural,demographics.yml
w2017,dem04,urban_rural,demographics.yml
w2018,d06,urban_rural,demographics.yml
w2019,d06,urban_rural,demographics.yml
w2020,d06,urban_rural,demographics.yml
w2021,d06,urban_rural,demographics.yml
w2022,d06,urban_rural,demographics.yml
w2023,d06,urban_rural,demographics.yml
w2024,d06,urban_rural,demographics.yml
w2007,a60,nk_nuke_threat,north_korea.yml
w2008,b55,nk_nuke_threat,north_korea.yml
w2009,a59,nk_nuke_threat,north_korea.yml
w2010,a59,nk_nuke_threat,north_korea.yml
w2011,nk10,nk_nuke_threat,north_korea.yml
w2012,nk10,nk_nuke_threat,north_korea.yml
w2013,nk10,nk_nuke_threat,north_korea.yml
w2014,nk10,nk_nuke_threat,north_korea.yml
w2015,nk10,nk_nuke_threat,north_korea.yml
w2016,nk10,nk_nuke_threat,north_korea.yml
w2017,nk10,nk_nuke_threat,north_korea.yml
w2018,nk10,nk_nuke_threat,north_korea.yml
w2019,nk10,nk_nuke_threat,north_korea.yml
w2020,nk10,nk_nuke_threat,north_korea.yml
w2021,nk10,nk_nuke_threat,north_korea.yml
w2022,nk10,nk_nuke_threat,north_korea.yml
w2023,nk10,nk_nuke_threat,north_korea.yml
w2024,nk10,nk_nuke_threat,north_korea.yml
w2007,a43,nk_recent_change,north_korea.yml
w2008,b38,nk_recent_change,north_korea.yml
w2009,a41,nk_recent_change,north_korea.yml
w2010,a41,nk_recent_change,north_korea.yml
w2011,nk05,nk_recent_change,north_korea.yml
w2012,nk05,nk_recent_change,north_korea.yml
w2013,nk05,nk_recent_change,north_korea.yml
w2014,nk05,nk_recent_change,north_korea.yml
w2015,nk05,nk_recent_change,north_korea.yml
w2016,nk05,nk_recent_change,north_korea.yml
w2017,nk05,nk_recent_change,north_korea.yml
w2018,nk05,nk_recent_change,north_korea.yml
w2019,nk05,nk_recent_change,north_korea.yml
w2020,nk05,nk_recent_change,north_korea.yml
w2021,nk05_b,nk_recent_change,north_korea.yml
w2022,nk05_b,nk_recent_change,north_korea.yml
w2023,nk05_b,nk_recent_change,north_korea.yml
w2024,nk05_b,nk_recent_change,north_korea.yml
w2009,a40,nk_regime_wants_unif,north_korea.yml
w2011,nk04,nk_regime_wants_unif,north_korea.yml
