wave,question_id,harmonized_name,section,stem_text,item_text,response_scale,notes
w1,age_1,age,11. Demographics (인구통계),,SQ2. birth year (출생년도),Open-ended year entry; age derived from birth year,
w4,age,age,11. Demographics (인구통계),,SQ2. birth year (출생년도),Open-ended year entry; age derived from birth year,W4 variable name differs (age vs age_1)
w1,age_1,age_5cat,11. Demographics (인구통계),,SQ2. birth year (출생년도),Derived from birth year: 1=18-29; 2=30-39; 3=40-49; 4=50-59; 5=60+,Computed from age_1 (birth year)
w4,age,age_5cat,11. Demographics (인구통계),,SQ2. birth year (출생년도),Derived from birth year: 1=18-29; 2=30-39; 3=40-49; 4=50-59; 5=60+,Computed from age (birth year)
w1,ybirth,birth_year,11. Demographics (인구통계),,SQ2. birth year (출생년도),Open-ended year entry,
w4,birth,birth_year,11. Demographics (인구통계),,SQ2. birth year (출생년도),Open-ended year entry,W4 variable name differs (birth vs ybirth)
w1,Ecequal,econ_equality,2. Social Trust and Conflict/Consciousness of Social Class (사회신뢰와 갈등/계층의식),,Q11. How do you judge the degree of economic equality in Korean society? Score 0 to 10. (우리나라의 경제적 평등 정도를 0에서 10으로 점수를 매겨 주십시오.),0=extremely unequal (매우 불평등) to 10=completely equal (완전히 평등),
w4,ecequal,econ_equality,2. Social Trust and Conflict/Consciousness of Social Class (사회신뢰와 갈등/계층의식),,Q11. How do you judge the degree of economic equality in Korean society? Score 0 to 10. (우리나라의 경제적 평등 정도를 0에서 10으로 점수를 매겨 주십시오.),0=extremely unequal (매우 불평등) to 10=completely equal (완전히 평등),
w1,famfin,econ_family,3. Family and National Economy and Jobs (가족과 국가경제와 직업),,Q16. What would you say about your family's financial situation? (가족의 재정 상태에 대해 어떻게 생각하십니까?),1=very good (매우 좋다); 2=somewhat good (대체로 좋다); 3=somewhat bad (대체로 나쁘다); 4=poor (나쁘다),
w4,famfin,econ_family,3. Economics/Job (경제/직업),,Q5. What would you say about your family's current financial situation? (가족의 현재 재정 상태에 대해 어떻게 생각하십니까?),1=very good (매우 좋다); 2=somewhat good (대체로 좋다); 3=somewhat bad (대체로 나쁘다); 4=poor (나쁘다),
