date,year,month,president,approval,disapproval,n_obs,source,event,event_label,shock_sewol,shock_mers,shock_choi_scandal,shock_cho_kuk
1993-03-01,1993,3,Kim Young-sam,71.0,7.0,1,quarterly,,,,,,
1993-06-01,1993,6,Kim Young-sam,83.0,4.0,1,quarterly,,,,,,
1993-09-01,1993,9,Kim Young-sam,83.0,6.0,1,quarterly,,,,,,
1993-12-01,1993,12,Kim Young-sam,59.0,18.0,1,quarterly,,,,,,
1994-03-01,1994,3,Kim Young-sam,55.0,24.0,1,quarterly,,,,,,
1994-06-01,1994,6,Kim Young-sam,55.0,21.0,1,quarterly,,,,,,
1994-09-01,1994,9,Kim Young-sam,44.0,25.0,1,quarterly,,,,,,
1994-12-01,1994,12,Kim Young-sam,36.0,33.0,1,quarterly,,,,,,
1995-03-01,1995,3,Kim Young-sam,37.0,34.0,1,quarterly,,,,,,
1995-06-01,1995,6,Kim Young-sam,28.0,41.0,1,quarterly,,,,,,
1995-09-01,1995,9,Kim Young-sam,29.0,45.0,1,quarterly,,,,,,
1995-12-01,1995,12,Kim Young-sam,32.0,39.0,1,quarterly,,,,,,
1996-03-01,1996,3,Kim Young-sam,41.0,33.0,1,quarterly,,,,,,
1996-06-01,1996,6,Kim Young-sam,41.0,37.0,1,quarterly,,,,,,
1996-09-01,1996,9,Kim Young-sam,34.0,40.0,1,quarterly,,,,,,
1996-12-01,1996,12,Kim Young-sam,28.0,47.0,1,quarterly,,,,,,
1997-03-01,1997,3,Kim Young-sam,14.0,65.0,1,quarterly,,,,,,
1997-06-01,1997,6,Kim Young-sam,7.0,74.0,1,quarterly,,,,,,
1997-09-01,1997,9,Kim Young-sam,8.0,78.0,1,quarterly,,,,,,
1997-12-01,1997,12,Kim Young-sam,6.0,74.0,1,quarterly,,,,,,
1998-03-01,1998,3,Kim Dae-jung,71.0,7.0,1,quarterly,,,,,,
1998-06-01,1998,6,Kim Dae-jung,62.0,11.0,1,quarterly,,,,,,
1998-09-01,1998,9,Kim Dae-jung,56.0,17.0,1,quarterly,,,,,,
1998-12-01,1998,12,Kim Dae-jung,63.0,14.0,1,quarterly,,,,,,
1999-03-01,1999,3,Kim Dae-jung,60.0,16.0,1,quarterly,,,,,,
1999-06-01,1999,6,Kim Dae-jung,52.0,22.0,1,quarterly,,,,,,
1999-09-01,1999,9,Kim Dae-jung,46.0,29.0,1,quarterly,,,,,,
1999-12-01,1999,12,Kim Dae-jung,50.0,24.0,1,quarterly,,,,,,
2000-03-01,2000,3,Kim Dae-jung,49.0,20.0,1,quarterly,,,,,,
2000-06-01,2000,6,Kim Dae-jung,38.0,26.0,1,quarterly,,,,,,
2000-09-01,2000,9,Kim Dae-jung,54.0,18.0,1,quarterly,,,,,,
2000-12-01,2000,12,Kim Dae-jung,30.0,51.0,1,quarterly,,,,,,
2001-03-01,2001,3,Kim Dae-jung,27.0,55.0,1,quarterly,,,,,,
2001-06-01,2001,6,Kim Dae-jung,29.0,52.0,1,quarterly,,,,,,
2001-09-01,2001,9,Kim Dae-jung,28.0,49.0,1,quarterly,,,,,,
2001-12-01,2001,12,Kim Dae-jung,31.0,49.0,1,quarterly,,,,,,
2002-03-01,2002,3,Kim Dae-jung,33.0,41.0,1,quarterly,,,,,,
2002-06-01,2002,6,Kim Dae-jung,26.0,53.0,1,quarterly,,,,,,
2002-09-01,2002,9,Kim Dae-jung,28.0,52.0,1,quarterly,,,,,,
2002-12-01,2002,12,Kim Dae-jung,24.0,56.0,1,quarterly,,,,,,
2003-03-01,2003,3,Roh Moo-hyun,60.0,19.0,1,quarterly,,,,,,
2003-06-01,2003,6,Roh Moo-hyun,40.0,41.0,1,quarterly,,,,,,
2003-09-01,2003,9,Roh Moo-hyun,29.0,53.0,1,quarterly,,,,,,
2003-12-01,2003,12,Roh Moo-hyun,22.0,62.0,1,quarterly,,,,,,
2004-03-01,2004,3,Roh Moo-hyun,25.0,57.0,1,quarterly,,,,,,
2004-06-01,2004,6,Roh Moo-hyun,34.0,46.0,1,quarterly,,,,,,
2004-09-01,2004,9,Roh Moo-hyun,23.0,60.0,1,quarterly,,,,,,
2004-12-01,2004,12,Roh Moo-hyun,27.0,57.0,1,quarterly,,,,,,
2005-03-01,2005,3,Roh Moo-hyun,33.0,55.0,1,quarterly,,,,,,
2005-06-01,2005,6,Roh Moo-hyun,34.0,53.0,1,quarterly,,,,,,
2005-09-01,2005,9,Roh Moo-hyun,28.0,61.0,1,quarterly,,,,,,
2005-12-01,2005,12,Roh Moo-hyun,23.0,67.0,1,quarterly,,,,,,
2006-03-01,2006,3,Roh Moo-hyun,27.0,63.0,1,quarterly,,,,,,
2006-06-01,2006,6,Roh Moo-hyun,20.0,70.0,1,quarterly,,,,,,
2006-09-01,2006,9,Roh Moo-hyun,16.0,74.0,1,quarterly,,,,,,
2006-12-01,2006,12,Roh Moo-hyun,12.0,79.0,1,quarterly,,,,,,
2007-03-01,2007,3,Roh Moo-hyun,16.0,78.0,1,quarterly,,,,,,
2007-06-01,2007,6,Roh Moo-hyun,24.0,66.0,1,quarterly,,,,,,
2007-09-01,2007,9,Roh Moo-hyun,27.0,64.0,1,quarterly,,,,,,
2007-12-01,2007,12,Roh Moo-hyun,27.0,62.0,1,quarterly,,,,,,
2008-03-01,2008,3,Lee Myung-bak,52.0,29.0,1,quarterly,,,,,,
2008-06-01,2008,6,Lee Myung-bak,21.0,69.0,1,quarterly,,,,,,
2008-09-01,2008,9,Lee Myung-bak,24.0,65.0,1,quarterly,,,,,,
2008-12-01,2008,12,Lee Myung-bak,32.0,55.0,1,quarterly,,,,,,
2009-03-01,2009,3,Lee Myung-bak,34.0,55.0,1,quarterly,,,,,,
2009-06-01,2009,6,Lee Myung-bak,27.0,55.0,1,quarterly,,,,,,
2009-09-01,2009,9,Lee Myung-bak,36.0,55.0,1,quarterly,,,,,,
2009-12-01,2009,12,Lee Myung-bak,47.0,45.0,1,quarterly,,,,,,
2010-03-01,2010,3,Lee Myung-bak,44.0,45.0,1,quarterly,,,,,,
2010-06-01,2010,6,Lee Myung-bak,49.0,41.0,1,quarterly,,,,,,
2010-09-01,2010,9,Lee Myung-bak,44.0,43.0,1,quarterly,,,,,,
2010-12-01,2010,12,Lee Myung-bak,47.0,41.0,1,quarterly,,,,,,
2011-03-01,2011,3,Lee Myung-bak,43.0,49.0,1,quarterly,,,,,,
2011-06-01,2011,6,Lee Myung-bak,39.0,54.0,1,quarterly,,,,,,
2011-09-01,2011,9,Lee Myung-bak,37.0,55.0,1,quarterly,,,,,,
2011-12-01,2011,12,Lee Myung-bak,32.0,60.0,1,quarterly,,,,,,
2012-01-01,2012,1,Lee Myung-bak,26.0,60.0,1,weekly,,,,,,
2012-02-01,2012,2,Lee Myung-bak,25.0,62.0,1,weekly,,,,,,
2012-03-01,2012,3,Lee Myung-bak,27.0,58.0,1,weekly,,,,,,
2012-04-01,2012,4,Lee Myung-bak,25.0,63.0,1,weekly,,,,,,
2012-05-01,2012,5,Lee Myung-bak,22.0,65.0,1,weekly,,,,,,
2012-06-01,2012,6,Lee Myung-bak,24.0,63.0,1,weekly,,,,,,
2012-07-01,2012,7,Lee Myung-bak,20.0,66.0,1,weekly,,,,,,
2012-08-01,2012,8,Lee Myung-bak,18.0,66.0,1,weekly,,,,,,
2012-09-01,2012,9,Lee Myung-bak,22.0,64.0,1,weekly,,,,,,
2012-10-01,2012,10,Lee Myung-bak,24.0,62.0,1,weekly,,,,,,
2012-11-01,2012,11,Lee Myung-bak,25.0,61.0,1,weekly,,,,,,
2012-12-01,2012,12,Lee Myung-bak,24.0,60.0,1,weekly,,,,,,
2013-01-01,2013,1,Park Geun-hye,46.8,29.5,4,weekly,,,,,,
2013-02-01,2013,2,Park Geun-hye,41.2,37.0,4,weekly,,,,,,
2013-03-01,2013,3,Park Geun-hye,44.0,19.0,1,weekly,,,,,,
2013-04-01,2013,4,Park Geun-hye,52.3,18.0,3,weekly,,,,,,
2013-05-01,2013,5,Park Geun-hye,58.0,15.0,3,weekly,,,,,,
2013-06-01,2013,6,Park Geun-hye,61.3,14.0,3,weekly,,,,,,
2013-07-01,2013,7,Park Geun-hye,63.7,13.7,3,weekly,,,,,,
2013-08-01,2013,8,Park Geun-hye,60.3,18.0,3,weekly,,,,,,
2013-09-01,2013,9,Park Geun-hye,63.7,17.3,3,weekly,,,,,,
2013-10-01,2013,10,Park Geun-hye,59.7,20.3,3,weekly,,,,,,
2013-11-01,2013,11,Park Geun-hye,54.7,24.3,3,weekly,,,,,,
2013-12-01,2013,12,Park Geun-hye,54.0,27.0,2,weekly,,,,,,
2014-01-01,2014,1,Park Geun-hye,55.0,27.0,3,weekly,,,pre,,,
2014-02-01,2014,2,Park Geun-hye,55.0,26.7,3,weekly,,,pre,,,
2014-03-01,2014,3,Park Geun-hye,55.2,26.5,4,weekly,,,pre,,,
2014-04-01,2014,4,Park Geun-hye,50.8,32.2,4,weekly,sewol_sinking,Sewol ferry sinking,shock_month,,,
2014-05-01,2014,5,Park Geun-hye,44.0,42.0,4,weekly,,,post_m1_r0.799,,,
2014-06-01,2014,6,Park Geun-hye,44.3,42.3,3,weekly,,,post_m2_r0.804,,,
2014-07-01,2014,7,Park Geun-hye,43.8,42.0,4,weekly,,,post_m3_r0.795,,,
2014-08-01,2014,8,Park Geun-hye,41.0,45.2,4,weekly,,,post_m4_r0.744,,,
2014-09-01,2014,9,Park Geun-hye,40.5,46.2,4,weekly,,,post_m5_r0.735,,,
2014-10-01,2014,10,Park Geun-hye,39.0,47.0,4,weekly,,,post_m6_r0.708,,,
2014-11-01,2014,11,Park Geun-hye,36.0,49.5,4,weekly,,,post_m7_r0.653,,,
2014-12-01,2014,12,Park Geun-hye,36.7,49.3,3,weekly,,,post_m8_r0.666,,,
2015-01-01,2015,1,Park Geun-hye,36.0,50.0,4,weekly,,,post_m9_r0.653,,,
2015-02-01,2015,2,Park Geun-hye,36.0,49.0,3,weekly,,,post_m10_r0.653,,,
2015-03-01,2015,3,Park Geun-hye,37.0,47.8,4,weekly,,,post_m11_r0.672,pre,,
2015-04-01,2015,4,Park Geun-hye,40.7,44.3,3,weekly,,,post_m12_r0.739,pre,,
2015-05-01,2015,5,Park Geun-hye,37.2,47.8,4,weekly,mers_outbreak,MERS first confirmed case (peak: Jun 2015),,pre,,
2015-06-01,2015,6,Park Geun-hye,31.4,55.4,5,weekly,,,,shock_month,,
2015-07-01,2015,7,Park Geun-hye,36.2,49.8,4,weekly,,,,post_m1_r0.945,,
2015-08-01,2015,8,Park Geun-hye,39.0,47.0,4,weekly,,,,post_m2_r1.018,,
2015-09-01,2015,9,Park Geun-hye,42.4,43.6,5,weekly,,,,post_m3_r1.107,,
2015-10-01,2015,10,Park Geun-hye,50.8,35.2,4,weekly,,,,post_m4_r1.326,,
2015-11-01,2015,11,Park Geun-hye,51.2,36.5,4,weekly,,,,post_m5_r1.337,,
2015-12-01,2015,12,Park Geun-hye,44.7,42.0,3,weekly,,,,post_m6_r1.167,,
2016-01-01,2016,1,Park Geun-hye,41.8,45.2,4,weekly,,,,,,
2016-02-01,2016,2,Park Geun-hye,41.0,46.0,4,weekly,,,,,,
2016-03-01,2016,3,Park Geun-hye,41.8,44.8,4,weekly,,,,,,
2016-04-01,2016,4,Park Geun-hye,34.5,52.5,4,weekly,,,,,,
2016-05-01,2016,5,Park Geun-hye,32.8,54.5,4,weekly,,,,,,
2016-06-01,2016,6,Park Geun-hye,31.0,55.2,4,weekly,,,,,,
2016-07-01,2016,7,Park Geun-hye,33.0,54.0,4,weekly,,,,,pre,
2016-08-01,2016,8,Park Geun-hye,34.5,51.8,4,weekly,,,,,pre,
2016-09-01,2016,9,Park Geun-hye,35.2,50.8,5,weekly,,,,,pre,
2016-10-01,2016,10,Park Geun-hye,25.5,64.2,4,weekly,choi_scandal_breaks,Choi Soon-sil scandal breaks (JTBC tablet),,,shock_month,
2016-11-01,2016,11,Park Geun-hye,4.8,90.8,4,weekly,candlelight_protests,First mass candlelight protest,,,post_m1_r0.14,
2016-12-01,2016,12,Park Geun-hye,4.3,92.0,3,weekly,impeachment_vote,National Assembly impeachment vote (234-56),,,post_m2_r0.126,
