wave,question_id,harmonized_name,section,stem_text,item_text,response_scale,notes
w2014,age,age,Basic,,Respondent's age,,
w2015,age,age,Basic,,Respondent's age,,
w2016,age,age,Basic,,Respondent's age,,
w2017,age,age,Basic,,Respondent's age,,
w2018,age,age,Basic,,Respondent's age,,
w2019a,age,age,Basic,,Respondent's age,,
w2019b,age,age,Basic,,Respondent's age,,
w2020a,age,age,Basic,,Respondent's age,,
w2020b,age,age,Basic,,Respondent's age,,
w2021a,age,age,Basic,,Respondent's age,,
w2021b,age,age,Basic,,Respondent's age,,
w2022,age,age,Basic,,Respondent's age,,
w2023,age,age,Basic,,Respondent's age,,
w2024,age,age,Basic,,Respondent's age,,Codebook indicates wave 2024 fielded; not in our dataset file (kinu_2014-2023_en.sav).
w2014,age_rge,age_5cat,Basic,,Respondent's age range,1=18-29 2=30-39 3=40-49 4=50-59 5=over 60,
w2015,age_rge,age_5cat,Basic,,Respondent's age range,1=18-29 2=30-39 3=40-49 4=50-59 5=over 60,
w2016,age_rge,age_5cat,Basic,,Respondent's age range,1=18-29 2=30-39 3=40-49 4=50-59 5=over 60,
w2017,age_rge,age_5cat,Basic,,Respondent's age range,1=18-29 2=30-39 3=40-49 4=50-59 5=over 60,
w2018,age_rge,age_5cat,Basic,,Respondent's age range,1=18-29 2=30-39 3=40-49 4=50-59 5=over 60,
w2019a,age_rge,age_5cat,Basic,,Respondent's age range,1=18-29 2=30-39 3=40-49 4=50-59 5=over 60,
w2019b,age_rge,age_5cat,Basic,,Respondent's age range,1=18-29 2=30-39 3=40-49 4=50-59 5=over 60,
w2020a,age_rge,age_5cat,Basic,,Respondent's age range,1=18-29 2=30-39 3=40-49 4=50-59 5=over 60,
w2020b,age_rge,age_5cat,Basic,,Respondent's age range,1=18-29 2=30-39 3=40-49 4=50-59 5=over 60,
w2021a,age_rge,age_5cat,Basic,,Respondent's age range,1=18-29 2=30-39 3=40-49 4=50-59 5=over 60,
w2021b,age_rge,age_5cat,Basic,,Respondent's age range,1=18-29 2=30-39 3=40-49 4=50-59 5=over 60,
w2022,age_rge,age_5cat,Basic,,Respondent's age range,1=18-29 2=30-39 3=40-49 4=50-59 5=over 60,
w2023,age_rge,age_5cat,Basic,,Respondent's age range,1=18-29 2=30-39 3=40-49 4=50-59 5=over 60,
w2024,age_rge,age_5cat,Basic,,Respondent's age range,1=18-29 2=30-39 3=40-49 4=50-59 5=over 60,Codebook indicates wave 2024 fielded; not in our dataset file (kinu_2014-2023_en.sav).
w2014,assets,assets,demographics,,,,Not included in this wave
w2015,assets,assets,demographics,,,,Not included in this wave
w2016,assets,assets,demographics,,,,Not included in this wave
w2017,assets,assets,demographics,,,,Not included in this wave
w2018,assets,assets,demographics,,,,Not included in this wave
w2019a,assets,assets,demographics,,,,Not included in this wave
w2019b,assets,assets,demographics,,,,Not included in this wave
w2020a,assets,assets,demographics,,,,Not included in this wave
w2020b,assets,assets,demographics,,,,Not included in this wave
w2021a,assets,assets,demographics,,"What is your household's net assets excluding liabilities (Debt – Financial liabilities, excluding rental deposits)? Net assets are the sum of financial assets, housing, other houses, and land, excluding liabilities.  <Asset>  The price of a house in your name or in the name of a household member living with you  Financial assets: Regular deposits, savings accounts, savings-type insurance, subscription deposits, stocks, bonds, savings-type insurance, etc.  Other real estate and property (houses other than residential houses, shopping malls, land, etc.), occupied real estate (jeonse deposit, premium, etc.), agricultural machinery/agricultural and livestock products/automobiles and others (membership, etc.)  <Debt>  Loans to financial institutions (including corporate loans and unpaid balances in negative bank accounts), general debentures, credit card debt, received jeonse (lease), deposit, credit, pre-loaded money, etc.",1 = < 50 million won 2 = 50-100 million won 3 = 100-200 million won 4 = 200-300 million won 5 = 300-400 million won 6 = 400-700 million won 7 = 700 million-1 billion won 8 = Over 1 billion won 99 = No response,
w2021b,assets,assets,demographics,,"What is your household's net assets excluding liabilities (Debt – Financial liabilities, excluding rental deposits)? Net assets are the sum of financial assets, housing, other houses, and land, excluding liabilities.  <Asset>  The price of a house in your name or in the name of a household member living with you  Financial assets: Regular deposits, savings accounts, savings-type insurance, subscription deposits, stocks, bonds, savings-type insurance, etc.  Other real estate and property (houses other than residential houses, shopping malls, land, etc.), occupied real estate (jeonse deposit, premium, etc.), agricultural machinery/agricultural and livestock products/automobiles and others (membership, etc.)  <Debt>  Loans to financial institutions (including corporate loans and unpaid balances in negative bank accounts), general debentures, credit card debt, received jeonse (lease), deposit, credit, pre-loaded money, etc.",1 = < 50 million won 2 = 50-100 million won 3 = 100-200 million won 4 = 200-300 million won 5 = 300-400 million won 6 = 400-700 million won 7 = 700 million-1 billion won 8 = Over 1 billion won 99 = No response,
w2022,assets,assets,demographics,,"What is your household's net assets excluding liabilities (Debt – Financial liabilities, excluding rental deposits)? Net assets are the sum of financial assets, housing, other houses, and land, excluding liabilities.  <Asset>  The price of a house in your name or in the name of a household member living with you  Financial assets: Regular deposits, savings accounts, savings-type insurance, subscription deposits, stocks, bonds, savings-type insurance, etc.  Other real estate and property (houses other than residential houses, shopping malls, land, etc.), occupied real estate (jeonse deposit, premium, etc.), agricultural machinery/agricultural and livestock products/automobiles and others (membership, etc.)  <Debt>  Loans to financial institutions (including corporate loans and unpaid balances in negative bank accounts), general debentures, credit card debt, received jeonse (lease), deposit, credit, pre-loaded money, etc.",1 = < 50 million won 2 = 50-100 million won 3 = 100-200 million won 4 = 200-300 million won 5 = 300-400 million won 6 = 400-700 million won 7 = 700 million-1 billion won 8 = Over 1 billion won 99 = No response,
w2023,assets,assets,demographics,,"What is your household's net assets excluding liabilities (Debt – Financial liabilities, excluding rental deposits)? Net assets are the sum of financial assets, housing, other houses, and land, excluding liabilities.  <Asset>  The price of a house in your name or in the name of a household member living with you  Financial assets: Regular deposits, savings accounts, savings-type insurance, subscription deposits, stocks, bonds, savings-type insurance, etc.  Other real estate and property (houses other than residential houses, shopping malls, land, etc.), occupied real estate (jeonse deposit, premium, etc.), agricultural machinery/agricultural and livestock products/automobiles and others (membership, etc.)  <Debt>  Loans to financial institutions (including corporate loans and unpaid balances in negative bank accounts), general debentures, credit card debt, received jeonse (lease), deposit, credit, pre-loaded money, etc.",1 = < 50 million won 2 = 50-100 million won 3 = 100-200 million won 4 = 200-300 million won 5 = 300-400 million won 6 = 400-700 million won 7 = 700 million-1 billion won 8 = Over 1 billion won 99 = No response,
w2024,assets,assets,demographics,,"What is your household's net assets excluding liabilities (Debt – Financial liabilities, excluding rental deposits)? Net assets are the sum of financial assets, housing, other houses, and land, excluding liabilities.  <Asset>  The price of a house in your name or in the name of a household member living with you  Financial assets: Regular deposits, savings accounts, savings-type insurance, subscription deposits, stocks, bonds, savings-type insurance, etc.  Other real estate and property (houses other than residential houses, shopping malls, land, etc.), occupied real estate (jeonse deposit, premium, etc.), agricultural machinery/agricultural and livestock products/automobiles and others (membership, etc.)  <Debt>  Loans to financial institutions (including corporate loans and unpaid balances in negative bank accounts), general debentures, credit card debt, received jeonse (lease), deposit, credit, pre-loaded money, etc.",1 = < 50 million won 2 = 50-100 million won 3 = 100-200 million won 4 = 200-300 million won 5 = 300-400 million won 6 = 400-700 million won 7 = 700 million-1 billion won 8 = Over 1 billion won 99 = No response,Codebook indicates wave 2024 fielded; not in our dataset file (kinu_2014-2023_en.sav).
w2014,at0301,at0301,attitudes,,,,Not included in this wave
w2015,at0301,at0301,attitudes,,,,Not included in this wave
w2016,at0301,at0301,attitudes,,"Although at times I may not agree with the government, my commitment to South Korea remains strong",1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2017,at0301,at0301,attitudes,,"Although at times I may not agree with the government, my commitment to South Korea remains strong",1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2018,at0301,at0301,attitudes,,"Although at times I may not agree with the government, my commitment to South Korea remains strong",1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2019a,at0301,at0301,attitudes,,,,Not included in this wave
w2019b,at0301,at0301,attitudes,,,,Not included in this wave
w2020a,at0301,at0301,attitudes,,,,Not included in this wave
w2020b,at0301,at0301,attitudes,,,,Not included in this wave
w2021a,at0301,at0301,attitudes,,,,Not included in this wave
w2021b,at0301,at0301,attitudes,,,,Not included in this wave
w2022,at0301,at0301,attitudes,,,,Not included in this wave
w2023,at0301,at0301,attitudes,,,,Not included in this wave
w2024,at0301,at0301,attitudes,,,,Not included in this wave
w2014,at0302,at0302,attitudes,,,,Not included in this wave
w2015,at0302,at0302,attitudes,,,,Not included in this wave
w2016,at0302,at0302,attitudes,,It is not very important for me to serve my country.,1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2017,at0302,at0302,attitudes,,It is not very important for me to serve my country.,1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2018,at0302,at0302,attitudes,,It is not very important for me to serve my country.,1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2019a,at0302,at0302,attitudes,,,,Not included in this wave
w2019b,at0302,at0302,attitudes,,,,Not included in this wave
w2020a,at0302,at0302,attitudes,,,,Not included in this wave
w2020b,at0302,at0302,attitudes,,,,Not included in this wave
w2021a,at0302,at0302,attitudes,,,,Not included in this wave
w2021b,at0302,at0302,attitudes,,,,Not included in this wave
w2022,at0302,at0302,attitudes,,,,Not included in this wave
w2023,at0302,at0302,attitudes,,,,Not included in this wave
w2024,at0302,at0302,attitudes,,,,Not included in this wave
w2014,at0305,at0305,attitudes,,,,Not included in this wave
w2015,at0305,at0305,attitudes,,,,Not included in this wave
w2016,at0305,at0305,attitudes,,"I find it uncomfortable to see the act of forcing children to have strong patriotism, such as pledge of the national flag and sing the national anthem.",1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2017,at0305,at0305,attitudes,,"I find it uncomfortable to see the act of forcing children to have strong patriotism, such as pledge of the national flag and sing the national anthem.",1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2018,at0305,at0305,attitudes,,"I find it uncomfortable to see the act of forcing children to have strong patriotism, such as pledge of the national flag and sing the national anthem.",1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2019a,at0305,at0305,attitudes,,,,Not included in this wave
w2019b,at0305,at0305,attitudes,,,,Not included in this wave
w2020a,at0305,at0305,attitudes,,,,Not included in this wave
w2020b,at0305,at0305,attitudes,,,,Not included in this wave
w2021a,at0305,at0305,attitudes,,,,Not included in this wave
w2021b,at0305,at0305,attitudes,,,,Not included in this wave
w2022,at0305,at0305,attitudes,,,,Not included in this wave
w2023,at0305,at0305,attitudes,,,,Not included in this wave
w2024,at0305,at0305,attitudes,,,,Not included in this wave
w2014,at0306,at0306,attitudes,,,,Not included in this wave
w2015,at0306,at0306,attitudes,,,,Not included in this wave
w2016,at0306,at0306,attitudes,,,,Not included in this wave
w2017,at0306,at0306,attitudes,,,,Not included in this wave
w2018,at0306,at0306,attitudes,,,,Not included in this wave
w2019a,at0306,at0306,attitudes,,I feel good when hearing the national anthem,1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2019b,at0306,at0306,attitudes,,I feel good when hearing the national anthem,1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2020a,at0306,at0306,attitudes,,I feel good when hearing the national anthem,1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2020b,at0306,at0306,attitudes,,I feel good when hearing the national anthem,1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2021a,at0306,at0306,attitudes,,I feel good when hearing the national anthem,1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2021b,at0306,at0306,attitudes,,I feel good when hearing the national anthem,1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2022,at0306,at0306,attitudes,,I feel good when hearing the national anthem,1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2023,at0306,at0306,attitudes,,I feel good when hearing the national anthem,1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2024,at0306,at0306,attitudes,,I feel good when hearing the national anthem,1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,Codebook indicates wave 2024 fielded; not in our dataset file (kinu_2014-2023_en.sav).
w2014,at0307,at0307,attitudes,,,,Not included in this wave
w2015,at0307,at0307,attitudes,,,,Not included in this wave
w2016,at0307,at0307,attitudes,,,,Not included in this wave
w2017,at0307,at0307,attitudes,,,,Not included in this wave
w2018,at0307,at0307,attitudes,,,,Not included in this wave
w2019a,at0307,at0307,attitudes,"* at0307, at0308 - NES 2004 constructive patriotism","If I criticize the South Korea, I do so out of love of country",1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2019b,at0307,at0307,attitudes,"* at0307, at0308 - NES 2004 constructive patriotism","If I criticize the South Korea, I do so out of love of country",1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2020a,at0307,at0307,attitudes,"* at0307, at0308 - NES 2004 constructive patriotism","If I criticize the South Korea, I do so out of love of country",1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2020b,at0307,at0307,attitudes,"* at0307, at0308 - NES 2004 constructive patriotism","If I criticize the South Korea, I do so out of love of country",1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2021a,at0307,at0307,attitudes,"* at0307, at0308 - NES 2004 constructive patriotism","If I criticize the South Korea, I do so out of love of country",1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2021b,at0307,at0307,attitudes,"* at0307, at0308 - NES 2004 constructive patriotism","If I criticize the South Korea, I do so out of love of country",1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2022,at0307,at0307,attitudes,"* at0307, at0308 - NES 2004 constructive patriotism","If I criticize the South Korea, I do so out of love of country",1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2023,at0307,at0307,attitudes,"* at0307, at0308 - NES 2004 constructive patriotism","If I criticize the South Korea, I do so out of love of country",1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2024,at0307,at0307,attitudes,"* at0307, at0308 - NES 2004 constructive patriotism","If I criticize the South Korea, I do so out of love of country",1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,Codebook indicates wave 2024 fielded; not in our dataset file (kinu_2014-2023_en.sav).
w2014,at0308,at0308,attitudes,,,,Not included in this wave
w2015,at0308,at0308,attitudes,,,,Not included in this wave
w2016,at0308,at0308,attitudes,,,,Not included in this wave
w2017,at0308,at0308,attitudes,,,,Not included in this wave
w2018,at0308,at0308,attitudes,,,,Not included in this wave
w2019a,at0308,at0308,attitudes,"* at0307, at0308 - NES 2004 constructive patriotism",People should work hard to move this country in a positive direction.,1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2019b,at0308,at0308,attitudes,"* at0307, at0308 - NES 2004 constructive patriotism",People should work hard to move this country in a positive direction.,1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2020a,at0308,at0308,attitudes,"* at0307, at0308 - NES 2004 constructive patriotism",People should work hard to move this country in a positive direction.,1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2020b,at0308,at0308,attitudes,"* at0307, at0308 - NES 2004 constructive patriotism",People should work hard to move this country in a positive direction.,1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2021a,at0308,at0308,attitudes,"* at0307, at0308 - NES 2004 constructive patriotism",People should work hard to move this country in a positive direction.,1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2021b,at0308,at0308,attitudes,"* at0307, at0308 - NES 2004 constructive patriotism",People should work hard to move this country in a positive direction.,1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2022,at0308,at0308,attitudes,"* at0307, at0308 - NES 2004 constructive patriotism",People should work hard to move this country in a positive direction.,1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2023,at0308,at0308,attitudes,"* at0307, at0308 - NES 2004 constructive patriotism",People should work hard to move this country in a positive direction.,1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,
w2024,at0308,at0308,attitudes,"* at0307, at0308 - NES 2004 constructive patriotism",People should work hard to move this country in a positive direction.,1=strongly disagree 2=somewhat disagree 3=neutral 4=somewhat agree 5=strongly agree 9=n/a,Codebook indicates wave 2024 fielded; not in our dataset file (kinu_2014-2023_en.sav).
w2014,at0309,at0309,attitudes,,,,Not included in this wave
w2015,at0309,at0309,attitudes,,,,Not included in this wave
w2016,at0309,at0309,attitudes,,,,Not included in this wave
w2017,at0309,at0309,attitudes,,,,Not included in this wave
w2018,at0309,at0309,attitudes,,,,Not included in this wave
w2019a,at0309,at0309,attitudes,,,,Not included in this wave
w2019b,at0309,at0309,attitudes,,,,Not included in this wave
