raw_variable,harmonized_name,yaml_file
age,age,demographics.yml
age_rge,age_5cat,demographics.yml
birthyear,birthyear,demographics.yml
cohort,cohort,demographics.yml
edu,education,demographics.yml
occupa,employment,demographics.yml
home,home_region,demographics.yml
income,income_manwon,demographics.yml
marital,marital_status,demographics.yml
region,region,demographics.yml
religion,religion,demographics.yml
attend,religious_attendance,demographics.yml
gender,sex,demographics.yml
class_fam,subjective_class_6pt,demographics.yml
class,subjective_income_5pt,demographics.yml
reg_size,urban_rural,demographics.yml
int0502,conflict_class,integration.yml
int0504,conflict_generational,integration.yml
int0503,conflict_ideological,integration.yml
int0505,conflict_nk_unification,integration.yml
int04,conflict_overall_severity,integration.yml
int0501,conflict_regional,integration.yml
at1703,multicult_culture,national_attitudes.yml
at1701,multicult_race,national_attitudes.yml
at1702,multicult_religion,national_attitudes.yml
at0207,natid_pride_arts,national_attitudes.yml
at0201,natid_pride_democracy,national_attitudes.yml
at0203,natid_pride_economy,national_attitudes.yml
at0210,natid_pride_equality,national_attitudes.yml
at0209,natid_pride_history,national_attitudes.yml
at0208,natid_pride_military,national_attitudes.yml
at01,natid_pride_overall,national_attitudes.yml
at0205,natid_pride_science,national_attitudes.yml
at0206,natid_pride_sports,national_attitudes.yml
at0204,natid_pride_welfare,national_attitudes.yml
at0202,natid_pride_world_influence,national_attitudes.yml
at0303,patriot_flag,national_attitudes.yml
at0304,patriot_identity,national_attitudes.yml
at2803,sysjust_best_country,national_attitudes.yml
at2801,sysjust_fair_society,national_attitudes.yml
at0702,trust_administration,national_attitudes.yml
at0704,trust_assembly,national_attitudes.yml
at0703,trust_courts,national_attitudes.yml
at06,trust_general,national_attitudes.yml
at0706,trust_media,national_attitudes.yml
at0705,trust_parties,national_attitudes.yml
at0701,trust_president,national_attitudes.yml
pc0117,nkpol_defector_support,nk_policy.yml
pc0101,nkpol_econ_exchange,nk_policy.yml
pc0111,nkpol_geumgang_tourism,nk_policy.yml
pc0107,nkpol_humanitarian_aid,nk_policy.yml
pc0112,nkpol_kaesong_resume,nk_policy.yml
pc06,nkpol_public_opinion_reflected,nk_policy.yml
pc0103,nkpol_sanctions,nk_policy.yml
pc0104,nkpol_sports_culture,nk_policy.yml
pc05,nkpol_us_china_posture,nk_policy.yml
pc0102,nkpol_use_nk_resources,nk_policy.yml
nk20,nk_def_contact_freq,north_korea.yml
nk0801,nk_def_introduce,north_korea.yml
nk0807,nk_def_jobs,north_korea.yml
nk0806,nk_def_mutual_benefits,north_korea.yml
nk0802,nk_def_next_door,north_korea.yml
nk0803,nk_def_prejudice,north_korea.yml
nk0805,nk_def_too_many_demands,north_korea.yml
nk0804,nk_def_violent_inc,north_korea.yml
nk11,nk_denuke_possible,north_korea.yml
nk06,nk_dialogue_kju,north_korea.yml
nk01,nk_interest,north_korea.yml
nk14,nk_nuke_war_likely,north_korea.yml
nk1201,nk_nukes_concern,north_korea.yml
nk1203,nk_nukes_impact,north_korea.yml
nk1202,nk_nukes_interest,north_korea.yml
nk0701,nk_pursues_unification,north_korea.yml
nk05,nk_trust_kju_regime,north_korea.yml
nk0702,nk_wants_communist_unif,north_korea.yml
nk0401,nk_warmth_aid,north_korea.yml
nk0403,nk_warmth_caution,north_korea.yml
nk0402,nk_warmth_cooperate,north_korea.yml
nk0404,nk_warmth_hostile,north_korea.yml
pt1902,econ_national_year_change,politics.yml
pt1901,econ_personal_year_change,politics.yml
pt07,eval_admin,politics.yml
pt08,eval_admin_unif_nk,politics.yml
pt05,eval_democracy,politics.yml
pt04,eval_econ_satisfaction,politics.yml
pt1801,ideology_lc_self,politics.yml
pt1303,party_warmth_justice,politics.yml
pt2002,rwa_criticize_authorities,politics.yml
pt2006,rwa_deviant_groups,politics.yml
pt2007,rwa_disciplined_citizens,politics.yml
pt2004,rwa_law_and_order,politics.yml
pt2001,rwa_mighty_leader,politics.yml
pt2005,rwa_obedience,politics.yml
pt2003,rwa_strongest_method,politics.yml
nk21b,country_warmth_china,security.yml
nk21c,country_warmth_japan,security.yml
nk21d,country_warmth_russia,security.yml
nk21a,country_warmth_us,security.yml
se0807,leader_warmth_kju,security.yml
se0806,leader_warmth_putin,security.yml
se0804,leader_warmth_xi,security.yml
nk1804,nk_nukes_unstoppable,security.yml
nk1701,sk_nuke_armament_support,security.yml
se0401,us_alliance_necessity,security.yml
se0403,us_forces_needed_now,security.yml
se0404,us_forces_post_unification,security.yml
nk1702,us_nuke_deployment_support,security.yml
se0502,us_vs_china_economy,security.yml
se0501,us_vs_china_security,security.yml
se02,war_possibility_5pt,security.yml
se0201,war_possibility_5pt,security.yml
uni0209,uni_arg_div_costs_higher,unification.yml
uni0211,uni_arg_econ_over_uni,unification.yml
uni0204,uni_arg_my_wish,unification.yml
uni0203,uni_arg_not_urgent,unification.yml
uni0212,uni_arg_one_people_two_states,unification.yml
uni0206,uni_arg_pay_tax,unification.yml
uni0201,uni_arg_peace_enough,unification.yml
uni0213,uni_arg_sacrifice_ok,unification.yml
uni0214,uni_arg_stay_divided,unification.yml
uni0301,uni_benefit_nation,unification.yml
uni0303,uni_benefit_nk,unification.yml
uni0302,uni_benefit_self,unification.yml
uni01,uni_necessity,unification.yml
uni0601,uni_post_class_conflict,unification.yml
uni0603,uni_post_gen_conflict,unification.yml
uni0602,uni_post_ideol_conflict,unification.yml
uni0604,uni_post_regional_conflict,unification.yml
