"wave","question_id","harmonized_name","section","stem_text","item_text","response_scale","notes"
"2004","a01","corr_prevalence_perception","Core corruption perception","","Generally speaking, how often do you think it occurs that money or valuables are given to public officials in exchange for their services?","1=Never occurs; 2; 3; 4; 5; 6=Occurs very often",""
"2005","a01","corr_prevalence_perception","Core corruption perception","","Generally speaking, how often do you think it occurs that money or valuables are given to public officials in exchange for their services?","1=Never occurs; 2; 3; 4; 5; 6=Occurs very often",""
"2006","a01","corr_prevalence_perception","Core corruption perception","","Generally speaking, how often do you think it occurs that money or valuables are given to public officials in exchange for their services?","1=Never occurs; 2; 3; 4; 5; 6=Occurs very often",""
"2007","a01","corr_prevalence_perception","Core corruption perception","","Generally speaking, how often do you think it occurs that money or valuables are given to public officials in exchange for their services?","1=Never occurs; 2; 3; 4; 5; 6=Occurs very often",""
"2008","q1","corr_prevalence_perception","Core corruption perception","","Generally speaking, how commonly do you think money or valuables are provided to public officials in the process of handling official business?","1=Never occurs; 2; 3; 4; 5; 6=Occurs very often","Wording shifted from how often to how commonly; semantically equivalent. English questionnaire: KOSSDA 13988."
"2009","q1","corr_prevalence_perception","Core corruption perception","","귀하는 공무원들이 공무를 처리하는 과정에서 금품수수 행위가 어느 정도 만연해 있다고 생각하십니까? [How prevalent do you think money/goods-receiving (금품수수) behavior is among public officials in handling official duties?]","1=전혀 없다 (Not at all prevalent); 2; 3; 4; 5; 6=매우 만연하다 (Very prevalent)","2009 questionnaire text estimated from 2008/2010 comparison; q-family variable naming used."
"2010","a01","corr_prevalence_perception","Core corruption perception","","귀하는 공무원들이 공무를 처리하는 과정에서 금품수수 행위가 어느 정도 만연해 있다고 생각하십니까? [How prevalent do you think money/goods-receiving (금품수수) behavior is among public officials in handling official duties?]","1=전혀 없다 (Not at all prevalent); 2; 3; 4; 5; 6=매우 만연하다 (Very prevalent)","Korean text sourced from 2014 questionnaire (KOSSDA 23277) as representative wave; wording stable 2009-2021."
"2011","a01","corr_prevalence_perception","Core corruption perception","","귀하는 공무원들이 공무를 처리하는 과정에서 금품수수 행위가 어느 정도 만연해 있다고 생각하십니까? [How prevalent do you think money/goods-receiving (금품수수) behavior is among public officials in handling official duties?]","1=전혀 없다 (Not at all prevalent); 2; 3; 4; 5; 6=매우 만연하다 (Very prevalent)","Korean text sourced from 2014 questionnaire (KOSSDA 23277) as representative wave; wording stable 2009-2021."
"2012","a01","corr_prevalence_perception","Core corruption perception","","귀하는 공무원들이 공무를 처리하는 과정에서 금품수수 행위가 어느 정도 만연해 있다고 생각하십니까? [How prevalent do you think money/goods-receiving (금품수수) behavior is among public officials in handling official duties?]","1=전혀 없다 (Not at all prevalent); 2; 3; 4; 5; 6=매우 만연하다 (Very prevalent)","Korean text sourced from 2014 questionnaire (KOSSDA 23277) as representative wave; wording stable 2009-2021."
"2013","a01","corr_prevalence_perception","Core corruption perception","","귀하는 공무원들이 공무를 처리하는 과정에서 금품수수 행위가 어느 정도 만연해 있다고 생각하십니까? [How prevalent do you think money/goods-receiving (금품수수) behavior is among public officials in handling official duties?]","1=전혀 없다 (Not at all prevalent); 2; 3; 4; 5; 6=매우 만연하다 (Very prevalent)","Korean text sourced from 2014 questionnaire (KOSSDA 23277) as representative wave; wording stable 2009-2021."
