"year","n","trust_central_govt","trust_national_assembly","trust_courts","trust_prosecution","trust_police","trust_local_govt","trust_public_enterprises","trust_military","trust_labor_unions","trust_civic_orgs","trust_tv","trust_newspapers","trust_education","trust_medical","trust_large_corps","trust_religious","trust_financial","trust_corporations","trust_media","trust_political_parties","trust_blue_house","honesty_central_govt","honesty_national_assembly","honesty_courts","honesty_prosecution","honesty_police","honesty_local_govt","honesty_public_enterprises","honesty_military","honesty_labor_unions","honesty_civic_orgs","honesty_tv","honesty_newspapers","honesty_education","honesty_medical","honesty_large_corps","honesty_religious","honesty_financial","trust_family","trust_neighbors","trust_acquaintances","trust_strangers","trust_foreigners","trust_generalized"
2011,7254,2.387,2.22,2.563,NA,NA,2.429,NA,2.579,2.574,2.673,NA,NA,2.668,2.717,NA,2.65,2.706,2.634,2.522,2.312,2.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.412
2013,5000,2.234,1.895,2.303,2.265,2.368,2.39,NA,2.612,2.346,2.475,2.414,2.374,2.522,2.57,2.222,2.371,2.53,2.222,NA,NA,NA,2.107,1.787,2.166,2.123,2.186,2.226,NA,2.435,2.289,2.416,2.296,2.261,2.373,2.388,2.053,2.289,2.37,3.546,2.668,2.994,1.789,1.777,2.747
2014,7500,2.141,1.851,2.233,2.215,2.281,2.304,NA,2.211,2.278,2.409,2.399,2.379,2.489,2.506,2.261,2.391,2.471,2.261,NA,NA,NA,2.048,1.756,2.121,2.09,2.116,2.166,NA,2.07,2.209,2.343,2.28,2.255,2.361,2.341,2.13,2.311,2.346,3.548,2.672,2.933,1.838,1.841,2.762
2015,7700,2.165,1.85,2.214,2.205,2.311,2.352,NA,2.438,2.279,2.396,2.394,2.371,2.462,2.502,2.215,2.38,2.502,2.215,NA,NA,NA,2.092,1.75,2.114,2.1,2.166,2.232,NA,2.269,2.224,2.336,2.281,2.263,2.348,2.367,2.084,2.316,2.388,3.565,2.656,2.941,1.81,1.816,2.694
2016,8000,1.964,1.704,2.054,2.01,2.213,2.308,2.22,2.362,2.266,2.391,2.362,2.329,2.472,2.513,2.167,2.334,2.441,2.22,NA,NA,NA,1.91,1.653,1.98,1.941,2.094,2.211,2.137,2.239,2.221,2.335,2.271,2.243,2.38,2.37,2.072,2.28,2.334,3.583,2.642,2.907,1.744,1.726,2.688
2017,8000,2.31,1.852,2.217,2.169,2.324,2.382,2.295,2.365,2.3,2.404,2.317,2.295,2.537,2.568,2.205,2.319,2.476,2.295,NA,NA,NA,2.185,1.749,2.123,2.074,2.201,2.271,2.204,2.25,2.236,2.336,2.223,2.2,2.431,2.434,2.104,2.257,2.373,3.525,2.631,2.859,1.765,1.762,2.661
2018,8000,2.409,1.882,2.211,2.203,2.346,2.483,2.345,2.432,2.307,2.405,2.399,2.343,2.497,2.553,2.265,2.378,2.52,2.345,NA,NA,NA,2.26,1.802,2.116,2.108,2.237,2.368,2.269,2.316,2.25,2.341,2.291,2.246,2.416,2.43,2.167,2.305,2.418,3.585,2.71,2.9,1.804,1.783,2.725
2019,8000,2.26,1.831,2.142,2.078,2.199,2.346,2.334,2.43,2.248,2.366,2.236,2.184,2.531,2.62,2.298,2.317,2.494,2.334,NA,NA,NA,2.165,1.75,2.042,2.004,2.097,2.246,2.249,2.317,2.199,2.309,2.148,2.104,2.44,2.478,2.191,2.263,2.394,3.576,2.72,2.941,1.795,1.779,2.693
2020,8336,2.425,1.951,2.303,2.261,2.425,2.559,2.515,2.527,2.369,2.419,2.379,2.339,2.67,2.769,2.499,2.426,2.622,2.515,NA,NA,NA,2.315,1.874,2.225,2.195,2.323,2.455,2.425,2.422,2.316,2.352,2.304,2.276,2.577,2.627,2.384,2.354,2.532,3.56,2.703,2.877,1.903,1.903,2.515
2021,8077,2.553,2.181,2.517,2.481,2.546,2.61,2.53,2.538,2.443,2.509,2.566,2.493,2.761,2.833,2.574,2.539,2.686,2.53,NA,NA,NA,2.485,2.107,2.437,2.401,2.465,2.531,2.471,2.477,2.416,2.482,2.507,2.446,2.699,2.758,2.506,2.525,2.64,3.599,2.733,2.883,1.911,1.86,2.597
2022,8294,2.395,2,2.426,2.362,2.46,2.585,2.522,2.525,2.384,2.475,2.558,2.459,2.748,2.864,2.562,2.485,2.71,2.522,NA,NA,NA,2.321,1.952,2.357,2.296,2.371,2.498,2.446,2.443,2.342,2.441,2.479,2.403,2.675,2.763,2.467,2.45,2.611,3.603,2.73,2.928,1.957,1.864,2.55
2023,8221,2.421,1.978,2.41,2.328,2.462,2.588,2.491,2.504,2.264,2.359,2.458,2.358,2.695,2.794,2.506,2.461,2.646,2.491,NA,NA,NA,2.342,1.929,2.349,2.283,2.389,2.516,2.454,2.434,2.253,2.359,2.404,2.324,2.653,2.721,2.431,2.432,2.583,3.624,2.704,2.927,1.833,1.814,2.534
2024,8251,2.317,1.974,2.39,2.327,2.472,2.539,2.524,2.51,2.358,2.396,2.447,2.398,2.707,2.647,2.551,2.549,2.637,2.524,NA,NA,NA,2.269,1.949,2.342,2.275,2.404,2.487,2.485,2.465,2.329,2.389,2.417,2.39,2.67,2.597,2.512,2.529,2.603,3.508,2.72,2.83,1.921,1.907,2.582
