wave,question_id,harmonized_name,section,stem_text,item_text,response_scale,notes
y2011,age,age_group,Administrative / Sampling,,,1=20대 이하; 2=30대; 3=40대; 4=50대; 5=60대; 6= 70대 이상,"Administrative variable (age), not a survey question"
y2013,d2,age_group,Demographics (응답자 특성),,귀하의 실제 생년월일은 언제입니까? 1 양력 2 음력,,
y2014,d2,age_group,Demographics (응답자 특성),,귀하의 실제 생년월일은 언제입니까? 1 양력 2 음력,,
y2015,d2,age_group,Demographics (응답자 특성),,귀하의 실제 생년월일은 언제입니까? ➀ 남성 ➁ 여성 ➀ 양력 ➁ 음력,,
y2016,d2,age_group,Demographics (응답자 특성),,귀하의 실제 생년월은 언제입니까? ➀ 남성 ➁ 여성 ➀ 양력 ➁ 음력,,
y2017,d2,age_group,Demographics (응답자 특성),,귀하의 실제 생년월은 언제입니까? ➀ 남성 ➁ 여성 ➀ 양력 ➁ 음력,,
y2018,d2,age_group,Demographics (응답자 특성),,귀하의 실제 생년월은 언제입니까? ➀ 남성 ➁ 여성 ➀ 양력 ➁ 음력,,
y2019,d2,age_group,Demographics (응답자 특성),,귀하의 실제 생년월은 언제입니까? ➀ 양력 ➁ 음력 년 월,,
y2020,d2,age_group,Demographics (응답자 특성),,귀하의 실제 생년월은 언제입니까?,,
y2021,d2,age_group,Demographics (응답자 특성),,귀하의 실제 생년월은 언제입니까?,,
y2022,d2,age_group,Demographics (응답자 특성),,귀하의 실제 생년월은 언제입니까?,,
y2023,d2,age_group,Demographics (응답자 특성),,귀하의 실제 생년월은 언제입니까?,,
y2024,d2,age_group,Demographics (응답자 특성),,귀하의 실제 생년월은 언제입니까?,,
y2015,q5_2_1,belong_city,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),귀하는 다음의 각 항목에 대하여 어떻게 생각하십니까?,(2-1) 나는 현재 살고 있는 지역(시·군·구)에 강한 소속감을 가지고 있다 ➀ ➁ ➂ ➃,1=전혀 그렇지 않다 (Strongly disagree); 2=별로 그렇지 않다 (Somewhat disagree); 3=약간 그렇다 (Somewhat agree); 4=매우 그렇다 (Strongly agree),
y2016,q5_2_1,belong_city,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),귀하는 다음의 각 항목에 대하여 어떻게 생각하십니까?,(2-1) 나는 현재 살고 있는 지역(시·군·구)에 강한 소속감을 가지고 있다 ➀ ➁ ➂ ➃,1=전혀 그렇지 않다 (Strongly disagree); 2=별로 그렇지 않다 (Somewhat disagree); 3=약간 그렇다 (Somewhat agree); 4=매우 그렇다 (Strongly agree),
y2017,q5_2_1,belong_city,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),귀하는 다음의 각 항목에 대하여 어떻게 생각하십니까?,(2-1) 나는 현재 살고 있는 지역(시·군·구)에 강한 소속감을 가지고 있다 ➀ ➁ ➂ ➃,1=전혀 그렇지 않다 (Strongly disagree); 2=별로 그렇지 않다 (Somewhat disagree); 3=약간 그렇다 (Somewhat agree); 4=매우 그렇다 (Strongly agree),
y2018,q5_2_1,belong_city,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),귀하는 다음의 각 항목에 대하여 어떻게 생각하십니까?,(2-1) 나는 현재 살고 있는 지역(시·군·구)에 강한 소속감을 가지고 있다 ➀ ➁ ➂ ➃,1=전혀 그렇지 않다 (Strongly disagree); 2=별로 그렇지 않다 (Somewhat disagree); 3=약간 그렇다 (Somewhat agree); 4=매우 그렇다 (Strongly agree),
y2019,q5_2_1,belong_city,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),귀하는 다음의 각 항목에 대하여 어떻게 생각하십니까?,,1=전혀 그렇지 않다 (Strongly disagree); 2=별로 그렇지 않다 (Somewhat disagree); 3=약간 그렇다 (Somewhat agree); 4=매우 그렇다 (Strongly agree),
y2020,q5_2_1,belong_city,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),귀하는 다음의 각 항목에 대하여 어떻게 생각하십니까?,(2-1) 나는 현재 살고 있는 시·군·구에 강한 소속감을 가지고 있다,1=전혀 그렇지 않다 (Strongly disagree); 2=별로 그렇지 않다 (Somewhat disagree); 3=약간 그렇다 (Somewhat agree); 4=매우 그렇다 (Strongly agree),
y2021,q5_2_1,belong_city,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),귀하는 다음의 각 항목에 대하여 어떻게 생각하십니까?,(2-1) 나는 현재 살고 있는 시·군·구에 강한 소속감을 가지고 있다,1=전혀 그렇지 않다 (Strongly disagree); 2=별로 그렇지 않다 (Somewhat disagree); 3=약간 그렇다 (Somewhat agree); 4=매우 그렇다 (Strongly agree),
