wave,question_id,harmonized_name,section,stem_text,item_text,response_scale,notes
w1,w01gender1,sex,demographics,,Respondent gender,1=Male; 5=Female,"Raw KLoSA coding is 1=Male, 5=Female; recoded to the project-standard 1/2 in harmonization (this dictionary's response_scale column reports the RAW scale, not the harmonized one). item_text from SPSS label; verbatim backfill from official questionnaire pending."
w2,w02gender1,sex,demographics,,Respondent gender,1=Male; 5=Female,"Raw KLoSA coding is 1=Male, 5=Female; recoded to the project-standard 1/2 in harmonization (this dictionary's response_scale column reports the RAW scale, not the harmonized one). item_text from SPSS label; verbatim backfill from official questionnaire pending."
w3,w03gender1,sex,demographics,,Respondent gender,1=Male; 5=Female,"Raw KLoSA coding is 1=Male, 5=Female; recoded to the project-standard 1/2 in harmonization (this dictionary's response_scale column reports the RAW scale, not the harmonized one). item_text from SPSS label; verbatim backfill from official questionnaire pending."
w4,w04gender1,sex,demographics,,Respondent gender,-9=Don't know; -8=Refuse to answer; 1=Male; 5=Female,"Raw KLoSA coding is 1=Male, 5=Female; recoded to the project-standard 1/2 in harmonization (this dictionary's response_scale column reports the RAW scale, not the harmonized one). item_text from SPSS label; verbatim backfill from official questionnaire pending."
w5,w05gender1,sex,demographics,,Respondent gender,-9=Don't know; -8=Refuse to answer; 1=Male; 5=Female,"Raw KLoSA coding is 1=Male, 5=Female; recoded to the project-standard 1/2 in harmonization (this dictionary's response_scale column reports the RAW scale, not the harmonized one). item_text from SPSS label; verbatim backfill from official questionnaire pending."
w6,w06gender1,sex,demographics,,Respondent gender,-9=Don't know; -8=Refuse to answer; 1=Male; 5=Female,"Raw KLoSA coding is 1=Male, 5=Female; recoded to the project-standard 1/2 in harmonization (this dictionary's response_scale column reports the RAW scale, not the harmonized one). item_text from SPSS label; verbatim backfill from official questionnaire pending."
w7,w07gender1,sex,demographics,,Respondent gender,-9=Don't know; -8=Refuse to answer; 1=Male; 5=Female,"Raw KLoSA coding is 1=Male, 5=Female; recoded to the project-standard 1/2 in harmonization (this dictionary's response_scale column reports the RAW scale, not the harmonized one). item_text from SPSS label; verbatim backfill from official questionnaire pending."
w8,w08gender1,sex,demographics,,Respondent gender,-9=Don't know; -8=Refuse to answer; 1=Male; 5=Female,"Raw KLoSA coding is 1=Male, 5=Female; recoded to the project-standard 1/2 in harmonization (this dictionary's response_scale column reports the RAW scale, not the harmonized one). item_text from SPSS label; verbatim backfill from official questionnaire pending."
w9,w09gender1,sex,demographics,,Respondent gender,-9=Don't know; -8=Refuse to answer; 1=Male; 5=Female,"Raw KLoSA coding is 1=Male, 5=Female; recoded to the project-standard 1/2 in harmonization (this dictionary's response_scale column reports the RAW scale, not the harmonized one). item_text from SPSS label; verbatim backfill from official questionnaire pending."
w1,w01A001y,birth_year,demographics,,The date when the respondent is born (unit: yyyy),,"W1 column is in the A001 family (w01A001y); W2-W9 use the A002 family (w0NA002y) -- a genuine per-wave item renumbering, confirmed identical coding across the boundary. item_text from SPSS label; verbatim backfill from official questionnaire pending."
w2,w02A002y,birth_year,demographics,,The date when the respondent is born (unit: yyyy),,"W1 column is in the A001 family (w01A001y); W2-W9 use the A002 family (w0NA002y) -- a genuine per-wave item renumbering, confirmed identical coding across the boundary. item_text from SPSS label; verbatim backfill from official questionnaire pending."
w3,w03A002y,birth_year,demographics,,The date when the respondent is born (unit: yyyy),,"W1 column is in the A001 family (w01A001y); W2-W9 use the A002 family (w0NA002y) -- a genuine per-wave item renumbering, confirmed identical coding across the boundary. item_text from SPSS label; verbatim backfill from official questionnaire pending."
w4,w04A002y,birth_year,demographics,,The date when the respondent is born (unit: yyyy),,"W1 column is in the A001 family (w01A001y); W2-W9 use the A002 family (w0NA002y) -- a genuine per-wave item renumbering, confirmed identical coding across the boundary. item_text from SPSS label; verbatim backfill from official questionnaire pending."
w5,w05A002y,birth_year,demographics,,The date when the respondent is born (unit: yyyy),,"W1 column is in the A001 family (w01A001y); W2-W9 use the A002 family (w0NA002y) -- a genuine per-wave item renumbering, confirmed identical coding across the boundary. item_text from SPSS label; verbatim backfill from official questionnaire pending."
