iso3,src,unmatched_country_years
BHS,unga,53
GRD,unga,52
WSM,unga,49
LCA,unga,47
ATG,unga,45
BLZ,unga,45
VCT,unga,45
BLR,unga,44
DMA,unga,44
UKR,unga,44
KNA,unga,43
BRN,unga,42
LIE,unga,36
FSM,unga,35
MHL,unga,35
SMR,unga,34
AND,unga,33
MCO,unga,33
PLW,unga,28
KIR,unga,26
NRU,unga,26
TON,unga,26
TUV,unga,26
AUT,unsc,2
BHR,unsc,2
BLR,unsc,2
CMR,unga,2
COD,unsc,2
COL,unsc,2
DNK,unsc,2
GRC,unsc,2
KGZ,unsc,2
LBR,unsc,2
LVA,unsc,2
PAK,unsc,2
PAN,unsc,2
PRT,unsc,2
SOM,unsc,2
TTO,unsc,2
UKR,unsc,2
VCT,unsc,2
ZWE,unsc,2
AGO,unga,1
ALB,unga,1
ARE,unga,1
ARG,unga,1
ARM,unga,1
AUS,unga,1
AUT,unga,1
AZE,unga,1
BDI,unga,1
BEL,unga,1
BEN,unga,1
BFA,unga,1
BGD,unga,1
BGR,unga,1
BHR,unga,1
BIH,unga,1
BOL,unga,1
BRA,unga,1
BRB,unga,1
BTN,unga,1
BWA,unga,1
CAF,unga,1
CAN,unga,1
CHE,unga,1
CHL,unga,1
CHN,unga,1
CIV,unga,1
COD,unga,1
COG,unga,1
COL,unga,1
COM,unga,1
CPV,unga,1
CRI,unga,1
CUB,unga,1
CYP,unga,1
CZE,unga,1
DEU,unga,1
DJI,unga,1
DNK,unga,1
DOM,unga,1
DZA,unga,1
DZA,unsc,1
ECU,unga,1
EGY,unga,1
ERI,unga,1
ESP,unga,1
EST,unga,1
ETH,unga,1
FIN,unga,1
FJI,unga,1
FRA,unga,1
GAB,unga,1
GBR,unga,1
GEO,unga,1
GHA,unga,1
GIN,unga,1
GMB,unga,1
GNB,unga,1
GNQ,unga,1
GRC,unga,1
GTM,unga,1
GUY,unga,1
GUY,unsc,1
HND,unga,1
HRV,unga,1
HTI,unga,1
HUN,unga,1
IDN,unga,1
IND,unga,1
IRL,unga,1
IRN,unga,1
IRQ,unga,1
ISL,unga,1
ISR,unga,1
ITA,unga,1
JAM,unga,1
JOR,unga,1
JPN,unga,1
KAZ,unga,1
KEN,unga,1
KGZ,unga,1
KHM,unga,1
KOR,unga,1
KOR,unsc,1
KWT,unga,1
LAO,unga,1
LBN,unga,1
LBR,unga,1
LBY,unga,1
LKA,unga,1
LSO,unga,1
LTU,unga,1
LUX,unga,1
LVA,unga,1
MAR,unga,1
MDA,unga,1
MDG,unga,1
MDV,unga,1
MEX,unga,1
MKD,unga,1
MLI,unga,1
MLT,unga,1
MMR,unga,1
MNE,unga,1
MNG,unga,1
MOZ,unga,1
MRT,unga,1
MUS,unga,1
MWI,unga,1
MYS,unga,1
NAM,unga,1
NER,unga,1
NGA,unga,1
NIC,unga,1
NLD,unga,1
NOR,unga,1
NPL,unga,1
NZL,unga,1
OMN,unga,1
PAK,unga,1
PAN,unga,1
PER,unga,1
PHL,unga,1
PNG,unga,1
POL,unga,1
PRK,unga,1
PRT,unga,1
PRY,unga,1
QAT,unga,1
ROU,unga,1
RUS,unga,1
RWA,unga,1
SAU,unga,1
SDN,unga,1
SEN,unga,1
SGP,unga,1
SLB,unga,1
SLE,unga,1
SLE,unsc,1
SLV,unga,1
SOM,unga,1
SSD,unga,1
STP,unga,1
SUR,unga,1
SVK,unga,1
SVN,unga,1
SVN,unsc,1
SWE,unga,1
SWZ,unga,1
SYC,unga,1
SYR,unga,1
TCD,unga,1
TGO,unga,1
THA,unga,1
TJK,unga,1
TKM,unga,1
TLS,unga,1
TTO,unga,1
TUN,unga,1
TZA,unga,1
UGA,unga,1
URY,unga,1
USA,unga,1
UZB,unga,1
VNM,unga,1
VUT,unga,1
YEM,unga,1
YUG,unga,1
ZAF,unga,1
ZMB,unga,1
ZWE,unga,1
