country_text_id,COWcode,dac_code,vdem_text_id,country_name,valid_from,valid_to,in_unga,in_unsc,in_vdem,in_dac,sources,succession_note
ABW,NA,ABW,NA,Aruba,1985,1999,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
AFG,700,AFG,AFG,Afghanistan,1789,2024,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
AFG,NA,AFG,AFG,Afghanistan,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
AGO,540,AGO,AGO,Angola,1900,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
AGO,NA,AGO,AGO,Angola,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
AIA,NA,AIA,NA,Anguilla,1975,2013,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
ALB,339,ALB,ALB,Albania,1912,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
ALB,NA,ALB,ALB,Albania,1988,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
AND,232,NA,NA,Andorra,1993,2025,TRUE,FALSE,FALSE,FALSE,unga,NA
ARE,NA,ARE,ARE,United Arab Emirates,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_donor+dac_recipient,NA
ARE,696,ARE,ARE,United Arab Emirates,1971,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
ARG,160,ARG,ARG,Argentina,1789,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
ARG,NA,ARG,ARG,Argentina,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
ARM,371,ARM,ARM,Armenia,1990,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
ARM,NA,ARM,ARM,Armenia,1991,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
ATG,NA,ATG,NA,Antigua and Barbuda,1972,2021,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
ATG,58,ATG,NA,Antigua & Barbuda,1981,2025,TRUE,FALSE,FALSE,TRUE,unga,NA
AUS,900,AUS,AUS,Australia,1789,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
AUS,NA,AUS,AUS,Australia,1965,2024,FALSE,FALSE,TRUE,TRUE,dac_donor,NA
AUT,300,AUT,AUT,Austria,1789,1918,FALSE,FALSE,TRUE,TRUE,vdem,NA
AUT,305,AUT,AUT,Austria,1919,2028,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
AUT,NA,AUT,AUT,Austria,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_donor,NA
AZE,373,AZE,AZE,Azerbaijan,1990,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
AZE,NA,AZE,AZE,Azerbaijan,1991,2024,FALSE,FALSE,TRUE,TRUE,dac_donor+dac_recipient,NA
BDI,516,BDI,BDI,Burundi,1916,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
BDI,NA,BDI,BDI,Burundi,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
BDN,267,NA,BDN,Baden,1789,1871,FALSE,FALSE,TRUE,FALSE,vdem,NA
BEL,211,BEL,BEL,Belgium,1789,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
BEL,NA,BEL,BEL,Belgium,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_donor,NA
BEN,434,BEN,BEN,Benin,1900,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
BEN,NA,BEN,BEN,Benin,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
BFA,439,BFA,BFA,Burkina Faso,1919,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
BFA,NA,BFA,BFA,Burkina Faso,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
BGD,771,BGD,BGD,Bangladesh,1971,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
BGD,NA,BGD,BGD,Bangladesh,1971,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
BGR,355,BGR,BGR,Bulgaria,1878,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
BGR,NA,BGR,BGR,Bulgaria,2010,2024,FALSE,FALSE,TRUE,TRUE,dac_donor,NA
BHR,692,BHR,BHR,Bahrain,1900,2027,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
BHR,NA,BHR,BHR,Bahrain,1960,2004,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
BHS,NA,BHS,NA,Bahamas,1960,1995,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
BHS,31,BHS,NA,Bahamas,1973,2025,TRUE,FALSE,FALSE,TRUE,unga,NA
BIH,NA,BIH,BIH,Bosnia and Herzegovina,1989,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
BIH,346,BIH,BIH,Bosnia & Herzegovina,1992,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
BLR,370,BLR,BLR,Belarus,1946,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
BLR,NA,BLR,BLR,Belarus,2005,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
BLZ,NA,BLZ,NA,Belize,1960,2024,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
BLZ,80,BLZ,NA,Belize,1981,2025,TRUE,FALSE,FALSE,TRUE,unga,NA
BMU,NA,BMU,NA,Bermuda,1964,1996,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
BOL,145,BOL,BOL,Bolivia,1825,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
BOL,NA,BOL,BOL,Bolivia,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
BRA,140,BRA,BRA,Brazil,1789,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
BRA,NA,BRA,BRA,Brazil,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
BRB,53,BRB,BRB,Barbados,1900,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
BRB,NA,BRB,BRB,Barbados,1966,2010,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
BRN,NA,BRN,NA,Brunei Darussalam,1960,1995,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
BRN,835,BRN,NA,Brunei,1984,2025,TRUE,FALSE,FALSE,TRUE,unga,NA
BRW,NA,NA,BRW,Brunswick,1789,1867,FALSE,FALSE,TRUE,FALSE,vdem,NA
BTN,760,BTN,BTN,Bhutan,1900,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
BTN,NA,BTN,BTN,Bhutan,1963,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
BVR,245,NA,BVR,Bavaria,1789,1871,FALSE,FALSE,TRUE,FALSE,vdem,NA
BWA,571,BWA,BWA,Botswana,1900,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
BWA,NA,BWA,BWA,Botswana,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
CAF,482,CAF,CAF,Central African Republic,1920,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
CAF,NA,CAF,CAF,Central African Republic,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
CAN,20,CAN,CAN,Canada,1841,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
CAN,NA,CAN,CAN,Canada,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_donor,NA
CHE,225,CHE,CHE,Switzerland,1798,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
