"source","wave","country","variable","question","value","n"
"harmonized",2,1,"trust_neighbors","q25",1,19
"harmonized",2,1,"trust_neighbors","q25",2,247
"harmonized",2,1,"trust_neighbors","q25",3,633
"harmonized",2,1,"trust_neighbors","q25",4,144
"raw",2,1,"trust_neighbors","q25",1,19
"raw",2,1,"trust_neighbors","q25",2,247
"raw",2,1,"trust_neighbors","q25",3,633
"raw",2,1,"trust_neighbors","q25",4,144
"harmonized",2,2,"trust_neighbors","q25",1,10
"harmonized",2,2,"trust_neighbors","q25",2,178
"harmonized",2,2,"trust_neighbors","q25",3,478
"harmonized",2,2,"trust_neighbors","q25",4,20
"raw",2,2,"trust_neighbors","q25",1,10
"raw",2,2,"trust_neighbors","q25",2,178
"raw",2,2,"trust_neighbors","q25",3,478
"raw",2,2,"trust_neighbors","q25",4,20
"harmonized",2,3,"trust_neighbors","q25",1,23
"harmonized",2,3,"trust_neighbors","q25",2,290
"harmonized",2,3,"trust_neighbors","q25",3,781
"harmonized",2,3,"trust_neighbors","q25",4,102
"raw",2,3,"trust_neighbors","q25",1,23
"raw",2,3,"trust_neighbors","q25",2,290
"raw",2,3,"trust_neighbors","q25",3,781
"raw",2,3,"trust_neighbors","q25",4,102
"harmonized",2,4,"trust_neighbors","q25",1,137
"harmonized",2,4,"trust_neighbors","q25",2,2967
"harmonized",2,4,"trust_neighbors","q25",3,1482
"harmonized",2,4,"trust_neighbors","q25",4,293
"raw",2,4,"trust_neighbors","q25",1,137
"raw",2,4,"trust_neighbors","q25",2,2967
"raw",2,4,"trust_neighbors","q25",3,1482
"raw",2,4,"trust_neighbors","q25",4,293
"harmonized",2,5,"trust_neighbors","q25",1,94
"harmonized",2,5,"trust_neighbors","q25",2,460
"harmonized",2,5,"trust_neighbors","q25",3,544
"harmonized",2,5,"trust_neighbors","q25",4,105
"raw",2,5,"trust_neighbors","q25",1,94
"raw",2,5,"trust_neighbors","q25",2,460
"raw",2,5,"trust_neighbors","q25",3,544
"raw",2,5,"trust_neighbors","q25",4,105
"harmonized",2,6,"trust_neighbors","q25",1,59
"harmonized",2,6,"trust_neighbors","q25",2,239
"harmonized",2,6,"trust_neighbors","q25",3,644
"harmonized",2,6,"trust_neighbors","q25",4,245
"raw",2,6,"trust_neighbors","q25",1,59
"raw",2,6,"trust_neighbors","q25",2,239
"raw",2,6,"trust_neighbors","q25",3,644
"raw",2,6,"trust_neighbors","q25",4,245
"harmonized",2,7,"trust_neighbors","q25",1,19
"harmonized",2,7,"trust_neighbors","q25",2,378
"harmonized",2,7,"trust_neighbors","q25",3,938
"harmonized",2,7,"trust_neighbors","q25",4,185
"raw",2,7,"trust_neighbors","q25",1,19
"raw",2,7,"trust_neighbors","q25",2,378
"raw",2,7,"trust_neighbors","q25",3,938
"raw",2,7,"trust_neighbors","q25",4,185
"harmonized",2,8,"trust_neighbors","q25",1,35
