response_label,code,China,Singapore,Cambodia,Japan,Malaysia,Mongolia,South Korea,Taiwan,Vietnam,Indonesia,Philippines,Thailand
Interpreting democracy in generic (populist) terms,100,3,0,0,0,0,7,0,0,0,69,0,0
Popular sovereignty,110,16,0,0,13,0,1,7,0,5,1,4,3
Government of the people,111,6,6,0,5,3,6,0,30,27,0,0,30
Government by the People,120,9,0,0,2,1,0,0,6,9,74,0,15
People as their own master,121,441,1,1,3,0,2,9,117,181,0,2,0
Power of the people,122,46,0,103,7,30,4,6,1,71,0,3,32
Government for the People,130,7,0,0,20,0,2,8,2,2,84,0,8
Putting people's interest first,131,55,12,1,7,0,15,17,12,21,0,0,2
Care for people,132,28,0,3,4,1,17,1,15,11,0,0,0
Responsive to people's need,133,16,4,0,1,12,0,14,2,17,0,3,0
Governing in the interest of general welfare,134,5,6,1,4,5,1,0,30,5,0,3,1
Absence of non-democratic arrangements,140,0,0,0,6,0,0,12,4,0,31,0,0
No dictator,141,3,0,1,6,6,0,11,5,0,0,15,1
No repression,142,6,0,19,11,0,0,3,12,5,0,3,0
Interpreting a democracy in terms of some key elements of li,200,33,0,0,2,0,0,0,0,0,16,0,0
Limited Government,201,2,0,0,1,0,2,0,3,0,0,0,3
Freedom and civil liberty,202,43,1,114,4,20,117,0,0,97,0,0,24
Freedom in general,203,59,159,42,215,112,509,790,224,137,0,253,91
Freedom of speech/press/expression,210,440,486,99,97,327,120,94,240,107,802,152,73
Freedom of association,211,0,0,3,0,1,2,0,1,14,0,0,0
Political liberty,212,15,2,8,0,22,0,0,1,14,0,0,122
Protection of individual/human rights,213,77,26,2,32,20,0,82,26,12,0,5,14
Freedom from government repression,214,0,0,2,1,0,0,8,1,5,0,0,0
Freedom of participation,215,16,2,6,1,6,0,0,0,10,0,0,0
Freedom of belief (and religion),216,7,4,1,4,31,14,4,0,2,0,9,2
Freedom of individual choice,217,3,24,21,7,117,34,12,7,36,0,109,29
Freedom of information,218,0,0,1,2,0,4,0,0,0,0,0,0
Political Equality,220,18,0,0,2,0,2,0,0,15,51,0,237
One man one vote,221,2,2,0,0,0,0,1,0,33,2,0,2
Equality before the law/justice,222,77,4,7,3,0,37,350,2,67,0,2,3
Non discrimination,223,1,0,4,8,5,2,0,0,45,0,0,0
Democratic Institutions and Process,230,0,0,0,4,6,1,8,4,1,152,0,0
"Election, popular vote or electoral choice",231,270,6,10,18,0,17,177,25,9,0,0,86
Electing leaders with integrity and capacity,232,18,1,10,0,0,0,0,5,2,0,0,27
Parliament,233,1,2,0,2,7,2,18,1,0,0,0,0
Separation of power or check-and-balance,234,0,0,0,2,0,3,5,1,11,0,0,0
Competitive party system,235,0,0,0,1,0,10,0,3,0,0,0,0
Power rotation,236,0,0,0,1,0,0,0,6,0,0,0,0
Rule of law,237,8,0,12,6,0,3,14,28,11,0,0,0
Independent judicial,238,0,4,1,0,0,0,0,0,0,0,0,0
Majority rule,239,71,2,20,53,11,0,26,121,3,0,1,84
Respect for minority rights,240,1,1,0,6,3,0,4,8,1,0,0,2
Political accountability,241,1,0,0,0,0,0,0,1,4,0,0,2
Participation and Citizen Empowerment,250,18,0,0,5,0,2,0,26,1,43,0,85
Ability to select or change government,251,9,34,1,2,2,2,1,5,2,0,0,0
Voting,252,7,6,10,5,21,0,3,29,9,0,13,55
Direct participation,253,25,1,0,3,0,2,19,5,8,0,0,3
Demonstration,254,0,0,43,0,3,4,84,8,0,0,0,3
Voice one's concern,255,74,1,0,12,0,2,0,10,7,0,0,1
Plebiscite (referendum),256,0,0,0,2,0,0,0,2,50,0,0,2
Social Pluralism and Civil Society,260,4,0,0,0,0,1,0,0,0,18,0,0
Open society,261,29,0,0,0,1,109,9,17,1,0,0,1
Pluralist society,262,0,0,3,2,0,1,0,6,0,0,0,5
Responsible media,263,0,0,0,1,1,7,12,0,2,0,0,0
Interpreting democracy in terms of social and economic syste,300,0,0,0,2,2,0,0,0,0,1,0,0
Free Economy,310,0,1,0,4,1,6,57,2,1,0,0,0
Free market,311,0,3,0,0,0,34,15,1,5,0,0,0
Private properties/ownership,312,2,0,0,2,0,80,59,2,0,0,0,0
Free and fair competition,313,2,1,0,16,0,14,34,4,14,0,0,0
Personal economic opportunities,314,1,0,75,0,0,9,1,0,4,0,2,0
Low tax,316,0,0,0,1,0,0,4,1,0,0,0,0
Privatization,317,0,0,0,0,0,15,0,0,0,0,0,0
Small government,318,0,0,0,0,0,1,0,0,0,0,0,0
"Equality, Justice or Fraternity",320,15,0,0,4,94,202,0,2,1,144,0,0
Social equality,321,65,60,9,184,14,20,2,53,129,0,24,10
Social justice,322,5,1,7,35,7,46,57,11,43,0,12,23
Fraternity,323,0,0,0,6,6,0,13,7,0,0,0,0
Equality of opportunities,324,2,0,1,4,0,5,11,1,10,0,0,2
Social rights or social entitlements,325,0,1,50,4,14,0,0,0,6,0,26,0
Welfare state,326,0,0,0,1,0,0,0,1,0,0,0,0
Socialism,327,3,0,0,1,0,1,0,0,0,0,0,0
Worker participation,328,0,0,0,0,0,1,1,0,0,0,0,0
Gender equality,329,0,0,0,2,0,0,0,0,0,0,0,0
Socio-Economic Performance,330,1,0,0,11,1,0,0,0,1,90,0,0
Solve unemployment,331,1,0,0,0,0,1,3,0,1,0,1,0
Find anyone a job,332,0,7,0,0,0,0,0,6,1,0,2,0
Providing social welfare (or social safety net),333,2,1,3,8,0,15,24,2,0,0,8,0
Taking good care of the weak,334,5,0,0,5,0,2,3,0,0,0,0,2
Taking care of people's economic well-being,335,10,6,4,5,0,0,4,41,3,0,1,10
Provision of happy and prosperous life,336,76,1,10,11,0,14,84,2,11,0,3,0
Improvement of people's welfare,337,6,6,1,4,0,47,0,1,2,0,7,0
Stable economy (economic stability),338,4,1,0,0,0,2,1,38,2,0,2,0
Small income gap (small gap between the rich and the poor),339,14,0,0,22,1,4,36,7,4,0,0,0
Economic development,340,0,0,6,0,0,0,0,0,0,0,0,0
Interpreting democracy in terms of good government,400,1,0,0,7,0,0,0,0,0,122,0,0
Good Governance,410,22,1,2,1,3,5,2,0,0,0,9,0
Honest government,411,2,0,1,1,5,3,0,11,0,0,1,4
Responsible (or rational) government,412,7,1,0,0,4,14,0,5,0,0,1,0
Openness or transparent government,413,37,14,0,1,0,96,0,5,7,0,0,3
"Responsive government (listening to people, respecting publi",414,133,75,0,36,15,10,0,126,4,0,0,14
Fair treatment,415,16,1,0,0,0,20,4,21,6,0,0,3
Efficiency or can-do (can deliver),416,6,0,0,0,0,4,0,2,0,0,0,0
No corruption,418,3,0,8,1,0,8,7,4,1,0,0,0
Law-biding government (rule by law),419,1,0,0,0,0,1,4,4,3,0,4,2
Social stability,420,5,0,0,2,0,1,5,5,6,0,0,0
Law and order,421,8,0,2,1,11,38,54,13,1,0,2,11
Reform in General,430,0,0,0,0,0,29,0,3,0,16,2,0
Political reform,431,2,0,0,0,0,0,0,1,0,0,1,1
Economic reform,432,0,0,0,0,0,0,0,0,0,0,1,0
Leadership,440,1,0,0,0,19,2,0,7,0,6,0,1
Public-spirited (selfish-less) leaders,441,5,0,0,2,0,1,1,1,1,0,0,0
Ability to make necessary (and sometimes unpopular) decision,443,1,1,0,0,0,0,0,0,0,0,0,0
Political elite should decide for the mass,444,2,0,0,0,0,0,0,0,2,0,0,2
Government leaders should lead the people,445,3,0,0,0,3,1,16,0,0,0,0,7
Development of elite,447,6,0,0,0,0,1,0,0,0,0,0,0
Competent leadership,448,0,0,1,1,0,0,0,0,0,0,0,0
