wave,question_id,harmonized_name,section,stem_text,item_text,response_scale,notes
w1,V119,action_boycotts,Political Interest & Political Participation,"Now I'd like you to look at this card. I'm going to read out some forms of political action that people can take, and I'd like you to tell me, for each one, whether you have done any of these things, whether you might do it or would never under any circumstances do it.",Joining in boycotts,1=Would never do; 2=Might do; 3=Have done,
w2,V243,action_boycotts,Political Interest & Political Participation,"Now I'd like you to look at this card. I'm going to read out some forms of political action that people can take, and I'd like you to tell me, for each one, whether you have done any of these things, whether you might do it or would never under any circumstances do it.",Joining in boycotts,1=Would never do; 2=Might do; 3=Have done,
w3,V119,action_boycotts,Political Interest & Political Participation,"Now I'd like you to look at this card. I'm going to read out some forms of political action that people can take, and I'd like you to tell me, for each one, whether you have done any of these things, whether you might do it or would never under any circumstances do it.",Joining in boycotts,1=Would never do; 2=Might do; 3=Have done,
w4,V135,action_boycotts,Political Interest & Political Participation,"Now I'd like you to look at this card. I'm going to read out some forms of political action that people can take, and I'd like you to tell me, for each one, whether you have done any of these things, whether you might do it or would never under any circumstances do it.",Joining in boycotts,1=Would never do; 2=Might do; 3=Have done,
w5,V97,action_boycotts,Political Interest & Political Participation,"Now I'd like you to look at this card. I'm going to read out some forms of political action that people can take, and I'd like you to tell me, for each one, whether you have done any of these things, whether you might do it or would never under any circumstances do it.",Joining in boycotts,1=Would never do; 2=Might do; 3=Have done,
w6,V86,action_boycotts,Political Interest & Political Participation,"Now I'd like you to look at this card. I'm going to read out some forms of political action that people can take, and I'd like you to tell me, for each one, whether you have done any of these things, whether you might do it or would never under any circumstances do it.",Joining in boycotts,1=Would never do; 2=Might do; 3=Have done,
w7,Q210,action_boycotts,Political Interest & Political Participation,"Now I'd like you to look at this card. I'm going to read out some forms of political action that people can take, and I'd like you to tell me, for each one, whether you have done any of these things, whether you might do it or would never under any circumstances do it.",Joining in boycotts,1=Would never do; 2=Might do; 3=Have done,
w1,V120,action_demonstrations,Political Interest & Political Participation,"Now I'd like you to look at this card. I'm going to read out some forms of political action that people can take, and I'd like you to tell me, for each one, whether you have done any of these things, whether you might do it or would never under any circumstances do it.",Attending peaceful demonstrations,1=Would never do; 2=Might do; 3=Have done,
w2,V244,action_demonstrations,Political Interest & Political Participation,"Now I'd like you to look at this card. I'm going to read out some forms of political action that people can take, and I'd like you to tell me, for each one, whether you have done any of these things, whether you might do it or would never under any circumstances do it.",Attending peaceful demonstrations,1=Would never do; 2=Might do; 3=Have done,
w3,V120,action_demonstrations,Political Interest & Political Participation,"Now I'd like you to look at this card. I'm going to read out some forms of political action that people can take, and I'd like you to tell me, for each one, whether you have done any of these things, whether you might do it or would never under any circumstances do it.",Attending peaceful demonstrations,1=Would never do; 2=Might do; 3=Have done,
w4,V136,action_demonstrations,Political Interest & Political Participation,"Now I'd like you to look at this card. I'm going to read out some forms of political action that people can take, and I'd like you to tell me, for each one, whether you have done any of these things, whether you might do it or would never under any circumstances do it.",Attending peaceful demonstrations,1=Would never do; 2=Might do; 3=Have done,
w5,V98,action_demonstrations,Political Interest & Political Participation,"Now I'd like you to look at this card. I'm going to read out some forms of political action that people can take, and I'd like you to tell me, for each one, whether you have done any of these things, whether you might do it or would never under any circumstances do it.",Attending peaceful demonstrations,1=Would never do; 2=Might do; 3=Have done,
