"concept","target_id","w1","w2","w3","w4","w5","w6","w7","w8","w9","coding","notes"
"identifiers","pid","pid","pid","pid","pid","pid","pid","pid","pid","pid","identity, numeric respondent ID","Literal column name 'pid' in every wave (NOT wave-prefixed w0Npid). Confirmed stable panel key: W1 has 10,254 unique pid; W9 has 6,057; 5,310 of W9's pids also appear in W1 (87.7% overlap) -- consistent with attrition + the w05_new refresher cohort accounting for the rest. Genuine longitudinal linkage confirmed by real-data check, not just naming."
"identifiers","hhid","hhid","hhid","hhid","hhid","hhid","hhid","hhid","hhid","HHID","identity, numeric household ID","Literal column name 'hhid' in W1-W8; W9 uses UPPERCASE 'HHID' instead. Loader must handle this case difference (e.g. via a per-wave name lookup, not a fixed sprintf pattern). W9 also carries an unrelated 'HHID22' ('In 2020, Household ID') -- not used."
"identifiers","weight","w01wgt_c","w02wgt_c","w03wgt_c","w04wgt_c","w05wgt_c","w06wgt_c","w07wgt_c","w08wgt_c","w09wgt_c","identity, sampling weight","UNRESOLVED / needs verification before use. Two weight families exist in the main w0N file (not Lt0N): wgt_c/wgt_p (cross-sectional/panel) from W1 (wgt_c only; wgt_p absent in W1), plus integrated wgt_a (W5 only) and wgt_ac/wgt_ap (W6-W9, for the refresher cohort). CRITICAL: the 'Horizontal weighting'/'Vertical weighting' labels on wgt_c vs wgt_p SWAP at W8-W9 relative to W1-W7 (W1-W7: wgt_c=Horizontal/cross-sectional, wgt_p=Vertical/panel; W8-W9: labels report the opposite). W9's labels also carry a stale '_8th wave' string, suggesting a copy-paste labeling artifact rather than a genuine redesign -- but this cannot be confirmed from metadata alone. Recorded wgt_c here (present in all 9 waves) as the raw-name-stable candidate; do NOT trust the label semantics for W8-W9 without checking the official KLoSA user guide. Many RD papers sidestep this by not weighting."
"demographics","sex","w01gender1","w02gender1","w03gender1","w04gender1","w05gender1","w06gender1","w07gender1","w08gender1","w09gender1","1=Male, 5=Female (raw); recode target 1/0 or 1/2 left to Task 4","w0Ngender1, present + stable across all 9 waves. -9/-8 missing codes appear in labels from W4 on (likely just unused-but-defined in W1-W3, not a coding change)."
"demographics","birth_year","w01A001y","w02A002y","w03A002y","w04A002y","w05A002y","w06A002y","w07A002y","w08A002y","w09A002y","identity, 4-digit year","W1 = w01A001y; W2-W9 = w0NA002y. Anchor shift: W1 uses the A001 family (not A002) for the entire birth-date/age block. This is a genuine per-wave renumbering, same pattern as the pension G->E and income E126->E147 relocations -- NOT covered by the design spec's assumption of a stable 'w0N A002_age' name across all waves."
"demographics","age","w01A001_age","w02A002_age","w03A002_age","w04A002_age","w05A002_age","w06A002_age","w07A002_age","w08A002_age","w09A002_age","identity, integer years (label formula = interview_year - birth_year)","W1 = w01A001_age; W2-W9 = w0NA002_age. Label-formula text contains apparent copy-paste bugs in W6 ('=2016-w06A002y+1', extra +1), W7 ('=2018-w06A002y', wrong wave ref), W9 ('=2020-w08A002y', wrong year AND wave ref) -- these are metadata-label bugs; the actual computed integer values should be spot-checked against birth_year once real data is loaded (not done in this pass). MAJOR FINDING: birth-MONTH variables (w01A001m; w0NA002m for W2-W9) exist and are FULLY populated (100% non-NA, spot-checked W1/W4/W9) -- contradicts the design spec's stated 'no birth month located' assumption. Day-precision interview-date variables (w0Nmniw_y/mniw_m/mniw_d) also exist in ALL 9 waves. Together these could support a far finer RD running variable (age in months, or exact days-to-cutoff) than the integer-year age the design spec assumed as a hard limitation -- flag prominently for the paper repo."
"demographics","education","w01edu","w02edu","w03edu","w04edu","w05edu","w06edu","w07edu","w08edu","w09edu","-9=DK,-8=Refuse,1=~Elementary school,2=Middle school,3=High school,4=College/University~ (4-level ladder)","w0Nedu, present + stably coded across all 9 waves. Full label text truncated by terminal width in early scans; confirmed via untruncated dump: 1=~Elementary school, 2=Middle school, 3=High school, 4=College/University~ (tildes appear to denote 'or below'/'or above' bounding, consistent with a 4-level ladder). Cross-survey education_5cat mapping is out of scope for this task."
"demographics","marital_status","w01A006","w02marital","w03marital","w04marital","w05marital","w06marital","w07marital","w08marital","w09marital","1=Married/living with partner,2=Separated,3=Divorced,4=Widowed/missing(dispersed family),5=Never married","W1 = w01A006 ('Currently marital status'); W2-W9 = w0Nmarital ('In <year>, the current marital status'). W1's item is NOT named 'marital' -- located via broader label search; coding confirmed IDENTICAL to W2-W9's scale."
"demographics","region","w01region1","w02region1","w03region1","w04region1","w05region1","w06region1","w07region1","w08region1","w09region1","11=Seoul,21=Busan,22=Daegu,23=Incheon,24=Gwangju,25=Daejeon,26=Ulsan,27=Sejong(from W5),31=Gyeonggi,32=Gangwon,33=Chungbuk,34=Chungnam,35=Jeonbuk,36=Jeonnam,37=Gyeongbuk,38=Gyeongnam","w0Nregion1 ('a local variable' = si-do), present + stable numeric coding across all 9 waves (Sejong=27 added from W5, consistent with its 2012 creation as a special city -- not a code-drift bug)."
"demographics","urban_rural","w01region3","w02region3","w03region3","w04region3","w05region3","w06region3","w07region3","w08region3","w09region3","1=Metropolitan, 2=City, 3=Town (3-level, monotonic urbanicity gradient)","UNCERTAIN -- two candidates exist. Picked w0Nregion3 ('Metropolitan/City/Town') as primary: labels are self-consistent and monotonically ordered. A second candidate, w0Nregion2 ('Village'/'Town', 2-level), is also present in all waves; real-data check (W4) shows region2's 'Town' count (1,933) EXACTLY equals region3's 'Town' count (1,933), and region2's 'Village' (5,553) = region3's Metropolitan (3,167) + City (2,386) -- i.e. region2 is a coarsening of region3, NOT an independent variable. However region2's English label 'Village' for the LARGER, more-populous code looks like a probable mistranslation of Korean administrative 동(dong, urban) vs 읍/면(eup/myeon, town/rural) -- 'Village' normally implies rural, but the data pattern suggests the opposite. Flagged for downstream verification against the official Korean codebook before use; region3 avoids the ambiguity."
