"concept","variable_id","wave","question"
"authoritarianism","upright_leader_discretion","w1","q138"
"authoritarianism","upright_leader_discretion","w2","q139"
"authoritarianism","upright_leader_discretion","w3","q146"
"authoritarianism","upright_leader_discretion","w4","q147"
"authoritarianism","upright_leader_discretion","w5","q154"
"authoritarianism","upright_leader_discretion","w6","q154"
"authoritarianism","auth_strong_leader","w1","q121"
"authoritarianism","auth_strong_leader","w2","q124"
"authoritarianism","auth_strong_leader","w4","q130"
"authoritarianism","auth_strong_leader","w5","q137"
"authoritarianism","auth_strong_leader","w6","q129"
"authoritarianism","auth_one_party","w1","q122"
"authoritarianism","auth_one_party","w2","q125"
"authoritarianism","auth_one_party","w3","q130"
"authoritarianism","auth_one_party","w4","q131"
"authoritarianism","auth_one_party","w5","q138"
"authoritarianism","auth_one_party","w6","q130"
"authoritarianism","auth_military_rule","w1","q123"
"authoritarianism","auth_military_rule","w2","q126"
"authoritarianism","auth_military_rule","w3","q131"
"authoritarianism","auth_military_rule","w4","q132"
"authoritarianism","auth_military_rule","w5","q139"
"authoritarianism","auth_military_rule","w6","q131"
"authoritarianism","auth_expert_rule","w1","q124"
"authoritarianism","auth_expert_rule","w3","q132"
"authoritarianism","auth_expert_rule","w4","q133"
"authoritarianism","auth_expert_rule","w5","q140"
"authoritarianism","auth_expert_rule","w6","q132"
"authoritarianism","trad_women_politics","w3","q139"
"authoritarianism","trad_women_politics","w4","q139"
"authoritarianism","trad_women_politics","w5","q146"
"authoritarianism","trad_women_politics","w6","q146"
"authoritarianism","trad_religious_authorities","w3","q138"
"authoritarianism","trad_religious_authorities","w4","q140"
"authoritarianism","trad_religious_authorities","w5","q147"
"authoritarianism","trad_religious_authorities","w6","q147"
"authoritarianism","auth_govt_censor_ideas","w1","q134"
"authoritarianism","auth_govt_censor_ideas","w2","q135"
"authoritarianism","auth_govt_censor_ideas","w3","q142"
"authoritarianism","auth_govt_censor_ideas","w4","q143"
"authoritarianism","auth_govt_censor_ideas","w5","q150"
"authoritarianism","auth_govt_censor_ideas","w6","q150"
"authoritarianism","antiplu_groups_disrupt_harmony","w1","q135"
"authoritarianism","antiplu_groups_disrupt_harmony","w2","q136"
"authoritarianism","antiplu_groups_disrupt_harmony","w3","q143"
"authoritarianism","antiplu_groups_disrupt_harmony","w4","q144"
"authoritarianism","antiplu_groups_disrupt_harmony","w5","q151"
"authoritarianism","antiplu_groups_disrupt_harmony","w6","q151"
"authoritarianism","auth_judges_defer_executive","w1","q136"
"authoritarianism","auth_judges_defer_executive","w2","q137"
"authoritarianism","auth_judges_defer_executive","w3","q144"
"authoritarianism","auth_judges_defer_executive","w4","q145"
"authoritarianism","auth_judges_defer_executive","w5","q152"
"authoritarianism","auth_judges_defer_executive","w6","q152"
"authoritarianism","antiplu_diversity_chaotic","w1","q139"
"authoritarianism","antiplu_diversity_chaotic","w2","q140"
"authoritarianism","antiplu_diversity_chaotic","w3","q147"
"authoritarianism","antiplu_diversity_chaotic","w4","q148"
"authoritarianism","antiplu_diversity_chaotic","w5","q155"
"authoritarianism","antiplu_diversity_chaotic","w6","q155"
"authoritarianism","demo_political_equality","w1","q132"
"authoritarianism","demo_political_equality","w2","q133"
"authoritarianism","demo_political_equality","w3","q140"
"authoritarianism","demo_political_equality","w4","q141"
"authoritarianism","demo_political_equality","w5","q148"
"authoritarianism","demo_political_equality","w6","q148"
"authoritarianism","democrit_poor_economy","w5","q168"
"authoritarianism","democrit_poor_economy","w6","q168"
"authoritarianism","democrit_indecisive","w5","q169"
"authoritarianism","democrit_indecisive","w6","q169"
"authoritarianism","democrit_ineffective_stability","w5","q170"
"authoritarianism","democrit_ineffective_stability","w6","q170"
"authoritarianism","democrit_citizens_not_ready","w5","q171"
"authoritarianism","democrit_citizens_not_ready","w6","q171"
"authoritarianism","democrit_harms_values","w5","q172"
"authoritarianism","democrit_econ_over_democracy","w5","q173"
"clientelism","community_leader_contact","w2","q84"
"clientelism","community_leader_contact","w3","q66"
"clientelism","community_leader_contact","w4","q71"
"clientelism","community_leader_contact","w5","q72"
"clientelism","community_leader_contact","w6","q70"
"clientelism","influence_asked_by_others","w2","q28"
"clientelism","influence_network_available","w2","q29"
"clientelism","social_support_available","w3","q29"
"clientelism","social_support_available","w4","q30"
"clientelism","social_support_available","w5","q31"
"corruption","corrupt_local_govt","w1","q114"
"corruption","corrupt_local_govt","w2","q117"
"corruption","corrupt_local_govt","w3","q116"
"corruption","corrupt_local_govt","w4","q117"
"corruption","corrupt_local_govt","w5","q124"
"corruption","corrupt_local_govt","w6","q115"
"corruption","corrupt_national_govt","w1","q115"
"corruption","corrupt_national_govt","w2","q118"
"corruption","corrupt_national_govt","w3","q117"
"corruption","corrupt_national_govt","w4","q118"
"corruption","corrupt_national_govt","w5","q125"
"corruption","corrupt_national_govt","w6","q116"
"corruption","govt_anticorrupt_effort","w2","q120"
"corruption","govt_anticorrupt_effort","w3","q118"
"corruption","govt_anticorrupt_effort","w4","q119"
"corruption","govt_anticorrupt_effort","w5","q126"
"corruption","govt_anticorrupt_effort","w6","q117"
"corruption","corrupt_witnessed","w1","q116"
"corruption","corrupt_witnessed","w2","q119"
"corruption","corrupt_witnessed","w3","q119"
"corruption","corrupt_witnessed","w4","q120"
"corruption","corrupt_witnessed","w5","q127"
"corruption","corrupt_witnessed","w6","q118"
"corruption","corrupt_better_than_before","w1","q108"
"covid19","covid_contracted","w6","q138"
"covid19","covid_impact_illness","w6","q139a"
"covid19","covid_impact_job_loss","w6","q139b"
"covid19","covid_impact_income_loss","w6","q139c"
"covid19","covid_impact_education","w6","q139d"
"covid19","covid_livelihood_impact","w6","q140"
"covid19","covid_trust_govt_info","w6","q141"
"covid19","covid_govt_handling","w6","q142"
"covid19","worried_income_loss","w6","q161"
"covid19","income_loss_severity","w6","q162"
"covid19","income_fairness","w6","q163"
"democracy_satisfaction","gov_sat_national","w1","q104"
"democracy_satisfaction","gov_sat_national","w2","q99"
"democracy_satisfaction","gov_sat_national","w3","q95"
"democracy_satisfaction","gov_sat_national","w4","q98"
"democracy_satisfaction","gov_sat_national","w5","q105"
"democracy_satisfaction","gov_sat_national","w6","q96"
"democracy_satisfaction","hh_income_sat","w2","se9a"
"democracy_satisfaction","hh_income_sat","w3","se13a"
"democracy_satisfaction","hh_income_sat","w4","se14a"
"democracy_satisfaction","hh_income_sat","w5","SE14A"
"democracy_satisfaction","hh_income_sat","w6","SE14a"
"democracy_tradeoffs","dem_statement_pair_1","w4","q79"
